fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1536976,2026-05-09_zulte_waregem_dender,Jupiler Pro League,144,2025,2026-05-09,600,6215,Zulte Waregem,Dender,2026-05-09T15:00:00+01:00,NS,11891,Elindus Arena,B. Put
1536977,2026-05-09_raal_la_louviere_cercle_brugge,Jupiler Pro League,144,2025,2026-05-09,5902,741,RAAL La Louvière,Cercle Brugge,2026-05-09T15:00:00+01:00,NS,0,Easi Arena,K. van Damme
1536997,2026-05-09_club_brugge_kv_st_truiden,Jupiler Pro League,144,2025,2026-05-09,569,735,Club Brugge KV,St. Truiden,2026-05-09T19:45:00+01:00,NS,0,Jan Breydel Stadion,J. Vergoote
1542944,2026-05-09_beerschot_va_lommel_united,Jupiler Pro League,144,2025,2026-05-09,263,259,Beerschot VA,Lommel United,2026-05-09T17:15:00+01:00,NS,0,Olympisch Stadion,N. Laforge
1536955,2026-05-10_antwerp_charleroi,Jupiler Pro League,144,2025,2026-05-10,740,736,Antwerp,Charleroi,2026-05-10T15:00:00+01:00,NS,0,Bosuilstadion,B. Verbeke
1536956,2026-05-10_genk_kvc_westerlo,Jupiler Pro League,144,2025,2026-05-10,742,261,Genk,KVC Westerlo,2026-05-10T18:15:00+01:00,NS,12455,Cegeka Arena,
1536996,2026-05-10_gent_anderlecht,Jupiler Pro League,144,2025,2026-05-10,631,554,Gent,Anderlecht,2026-05-10T12:30:00+01:00,NS,20727,Planet Group Arena,N. Verboomen
1536998,2026-05-10_union_st_gilloise_kv_mechelen,Jupiler Pro League,144,2025,2026-05-10,1393,266,Union St. Gilloise,KV Mechelen,2026-05-10T17:30:00+01:00,NS,194,Stade Joseph Marien,E. Lambrechts
1536972,2026-04-24_cercle_brugge_dender,Jupiler Pro League,144,2025,2026-04-24,741,6215,Cercle Brugge,Dender,2026-04-24T19:45:00+01:00,FT,0,Jan Breydel Stadion,M. Allaerts
1536948,2026-04-25_kvc_westerlo_antwerp,Jupiler Pro League,144,2025,2026-04-25,261,740,KVC Westerlo,Antwerp,2026-04-25T19:45:00+01:00,FT,195,Het Kuipje,N. Laforge
1536949,2026-04-25_genk_standard_liege,Jupiler Pro League,144,2025,2026-04-25,742,733,Genk,Standard Liege,2026-04-25T17:15:00+01:00,FT,12455,Cegeka Arena,"Lothar D'hondt, Belgium"
1536950,2026-04-25_oh_leuven_charleroi,Jupiler Pro League,144,2025,2026-04-25,260,736,OH Leuven,Charleroi,2026-04-25T15:00:00+01:00,FT,0,Den Dreef,A. Letellier
1536973,2026-04-26_zulte_waregem_raal_la_louviere,Jupiler Pro League,144,2025,2026-04-26,600,5902,Zulte Waregem,RAAL La Louvière,2026-04-26T18:15:00+01:00,FT,11891,Elindus Arena,M. Ledda
1536990,2026-04-26_anderlecht_union_st_gilloise,Jupiler Pro League,144,2025,2026-04-26,554,1393,Anderlecht,Union St. Gilloise,2026-04-26T17:30:00+01:00,FT,0,Lotto Park,J. Vergoote
1536991,2026-04-26_kv_mechelen_st_truiden,Jupiler Pro League,144,2025,2026-04-26,266,735,KV Mechelen,St. Truiden,2026-04-26T15:00:00+01:00,FT,0,Achter de Kazerne,L. Visser
1536992,2026-04-26_gent_club_brugge_kv,Jupiler Pro League,144,2025,2026-04-26,631,569,Gent,Club Brugge KV,2026-04-26T12:30:00+01:00,FT,20727,Planet Group Arena,E. Lambrechts
1541760,2026-04-27_beerschot_va_patro_eisden,Jupiler Pro League,144,2025,2026-04-27,263,6222,Beerschot VA,Patro Eisden,2026-04-27T19:30:00+01:00,AET,0,Olympisch Stadion,"Simon Bourdeaud'hui, Belgium"
1541761,2026-04-27_liege_lommel_united,Jupiler Pro League,144,2025,2026-04-27,6220,259,Liège,Lommel United,2026-04-27T19:30:00+01:00,FT,0,Stade de Rocourt,W. Smet
1536974,2026-05-01_cercle_brugge_zulte_waregem,Jupiler Pro League,144,2025,2026-05-01,741,600,Cercle Brugge,Zulte Waregem,2026-05-01T19:45:00+01:00,FT,0,Jan Breydel Stadion,A. Letellier
1536951,2026-05-02_charleroi_genk,Jupiler Pro League,144,2025,2026-05-02,736,742,Charleroi,Genk,2026-05-02T17:15:00+01:00,FT,177,Stade du Pays de Charleroi,L. Visser
1536952,2026-05-02_kvc_westerlo_oh_leuven,Jupiler Pro League,144,2025,2026-05-02,261,260,KVC Westerlo,OH Leuven,2026-05-02T15:00:00+01:00,FT,195,Het Kuipje,W. De Cremer
1536994,2026-05-02_st_truiden_union_st_gilloise,Jupiler Pro League,144,2025,2026-05-02,735,1393,St. Truiden,Union St. Gilloise,2026-05-02T19:45:00+01:00,FT,0,Daio Wasabi Stayen,J. Boterberg
1542943,2026-05-02_lommel_united_beerschot_va,Jupiler Pro League,144,2025,2026-05-02,259,263,Lommel United,Beerschot VA,2026-05-02T19:00:00+01:00,FT,0,Soevereinstadion,B. Verbeke
1536953,2026-05-03_antwerp_standard_liege,Jupiler Pro League,144,2025,2026-05-03,740,733,Antwerp,Standard Liege,2026-05-03T15:00:00+01:00,FT,175,Bosuilstadion,J. Vergoote
1536975,2026-05-03_dender_raal_la_louviere,Jupiler Pro League,144,2025,2026-05-03,6215,5902,Dender,RAAL La Louvière,2026-05-03T18:15:00+01:00,FT,19052,Dender Football Complex,B. Verbeke
1536993,2026-05-03_kv_mechelen_gent,Jupiler Pro League,144,2025,2026-05-03,266,631,KV Mechelen,Gent,2026-05-03T12:30:00+01:00,FT,0,Achter de Kazerne,"Simon Bourdeaud'hui, Belgium"
1536995,2026-05-03_anderlecht_club_brugge_kv,Jupiler Pro League,144,2025,2026-05-03,554,569,Anderlecht,Club Brugge KV,2026-05-03T17:30:00+01:00,FT,0,Lotto Park,N. Laforge
