fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1387080,2026-04-24_leicester_millwall,Championship,40,2025,2026-04-24,46,58,Leicester,Millwall,2026-04-24T20:00:00+01:00,FT,0,King Power Stadium,F. Hallam
1387079,2026-04-25_sheffield_utd_preston,Championship,40,2025,2026-04-25,62,59,Sheffield Utd,Preston,2026-04-25T15:00:00+01:00,FT,581,Bramall Lane,A. Kitchen
1387081,2026-04-25_birmingham_bristol_city,Championship,40,2025,2026-04-25,54,56,Birmingham,Bristol City,2026-04-25T15:00:00+01:00,FT,22764,St. Andrew's @ Knighthead Park,R. Jones
1387082,2026-04-25_norwich_swansea,Championship,40,2025,2026-04-25,71,76,Norwich,Swansea,2026-04-25T15:00:00+01:00,FT,0,Carrow Road,T. Parsons
1387084,2026-04-25_oxford_united_sheffield_wednesday,Championship,40,2025,2026-04-25,1338,74,Oxford United,Sheffield Wednesday,2026-04-25T15:00:00+01:00,FT,0,Kassam Stadium,R. Madley
1387085,2026-04-25_charlton_hull_city,Championship,40,2025,2026-04-25,1335,64,Charlton,Hull City,2026-04-25T12:30:00+01:00,FT,518,The Valley,T. Nield
1387086,2026-04-25_stoke_city_portsmouth,Championship,40,2025,2026-04-25,75,1355,Stoke City,Portsmouth,2026-04-25T15:00:00+01:00,FT,0,Bet365 Stadium,D. Webb
1387088,2026-04-25_west_brom_ipswich,Championship,40,2025,2026-04-25,60,57,West Brom,Ipswich,2026-04-25T12:30:00+01:00,FT,597,The Hawthorns,M. Donohue
1387089,2026-04-25_middlesbrough_watford,Championship,40,2025,2026-04-25,70,38,Middlesbrough,Watford,2026-04-25T12:30:00+01:00,FT,558,Riverside Stadium,A. Herczeg
1387090,2026-04-25_qpr_derby,Championship,40,2025,2026-04-25,72,69,QPR,Derby,2026-04-25T15:00:00+01:00,FT,0,Loftus Road,J. Busby
1387083,2026-04-26_coventry_wrexham,Championship,40,2025,2026-04-26,1346,1837,Coventry,Wrexham,2026-04-26T12:00:00+01:00,FT,0,Coventry Building Society Arena,S. Allison
1387028,2026-04-28_southampton_ipswich,Championship,40,2025,2026-04-28,41,57,Southampton,Ipswich,2026-04-28T19:45:00+01:00,FT,585,St. Mary's Stadium,T. Kirk
1387091,2026-05-02_blackburn_leicester,Championship,40,2025,2026-05-02,67,46,Blackburn,Leicester,2026-05-02T12:30:00+01:00,FT,0,Ewood Park,L. Doughty
1387092,2026-05-02_watford_coventry,Championship,40,2025,2026-05-02,38,1346,Watford,Coventry,2026-05-02T12:30:00+01:00,FT,596,Vicarage Road,R. Ricardo
1387093,2026-05-02_hull_city_norwich,Championship,40,2025,2026-05-02,64,71,Hull City,Norwich,2026-05-02T12:30:00+01:00,FT,0,MKM Stadium,J. Smith
1387094,2026-05-02_derby_sheffield_utd,Championship,40,2025,2026-05-02,69,62,Derby,Sheffield Utd,2026-05-02T12:30:00+01:00,FT,527,Pride Park,T. Nield
1387095,2026-05-02_ipswich_qpr,Championship,40,2025,2026-05-02,57,72,Ipswich,QPR,2026-05-02T12:30:00+01:00,FT,0,Portman Road,G. Ward
1387096,2026-05-02_sheffield_wednesday_west_brom,Championship,40,2025,2026-05-02,74,60,Sheffield Wednesday,West Brom,2026-05-02T12:30:00+01:00,FT,582,Hillsborough,L. Smith
1387097,2026-05-02_millwall_oxford_united,Championship,40,2025,2026-05-02,58,1338,Millwall,Oxford United,2026-05-02T12:30:00+01:00,FT,559,The Den,A. Backhouse
1387098,2026-05-02_wrexham_middlesbrough,Championship,40,2025,2026-05-02,1837,70,Wrexham,Middlesbrough,2026-05-02T12:30:00+01:00,FT,0,Racecourse Ground,O. Langford
1387099,2026-05-02_bristol_city_stoke_city,Championship,40,2025,2026-05-02,56,75,Bristol City,Stoke City,2026-05-02T12:30:00+01:00,FT,20106,Ashton Gate Stadium,B. Toner
1387100,2026-05-02_swansea_charlton,Championship,40,2025,2026-05-02,76,1335,Swansea,Charlton,2026-05-02T12:30:00+01:00,FT,0,Swansea.com Stadium,W. Finnie
1387101,2026-05-02_portsmouth_birmingham,Championship,40,2025,2026-05-02,1355,54,Portsmouth,Birmingham,2026-05-02T12:30:00+01:00,FT,573,Fratton Park,J. Brooks
1387102,2026-05-02_preston_southampton,Championship,40,2025,2026-05-02,59,41,Preston,Southampton,2026-05-02T12:30:00+01:00,FT,574,Deepdale,S. Martin
