fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1387631,2026-04-25_blackpool_leyton_orient,League One,41,2025,2026-04-25,1356,1373,Blackpool,Leyton Orient,2026-04-25T15:00:00+01:00,FT,0,Bloomfield Road,D. Drysdale
1387632,2026-04-25_bradford_bolton,League One,41,2025,2026-04-25,1343,68,Bradford,Bolton,2026-04-25T15:00:00+01:00,FT,0,Valley Parade,S. Stockbridge
1387633,2026-04-25_burton_albion_exeter_city,League One,41,2025,2026-04-25,748,1364,Burton Albion,Exeter City,2026-04-25T15:00:00+01:00,FT,0,Pirelli Stadium,E. Bell
1387634,2026-04-25_doncaster_stevenage,League One,41,2025,2026-04-25,1354,1368,Doncaster,Stevenage,2026-04-25T12:30:00+01:00,FT,0,Eco-Power Stadium,M. Coy
1387635,2026-04-25_huddersfield_mansfield_town,League One,41,2025,2026-04-25,37,1374,Huddersfield,Mansfield Town,2026-04-25T15:00:00+01:00,FT,0,John Smit,R. Joyce
1387636,2026-04-25_lincoln_wycombe,League One,41,2025,2026-04-25,1379,1358,Lincoln,Wycombe,2026-04-25T15:00:00+01:00,FT,0,LNER stadium,S. Oldham
1387637,2026-04-25_luton_barnsley,League One,41,2025,2026-04-25,1359,747,Luton,Barnsley,2026-04-25T15:00:00+01:00,FT,0,Kenilworth Road,H. Wager
1387638,2026-04-25_plymouth_port_vale,League One,41,2025,2026-04-25,1357,1351,Plymouth,Port Vale,2026-04-25T15:00:00+01:00,FT,571,Home Park,I. Searle
1387639,2026-04-25_rotherham_reading,League One,41,2025,2026-04-25,73,53,Rotherham,Reading,2026-04-25T15:00:00+01:00,FT,0,Aesseal New York Stadium,J. Brooks
1387640,2026-04-25_stockport_county_peterborough,League One,41,2025,2026-04-25,4686,1350,Stockport County,Peterborough,2026-04-25T12:30:00+01:00,FT,0,Edgeley Park,J. Miles
1387641,2026-04-25_wigan_afc_wimbledon,League One,41,2025,2026-04-25,61,1333,Wigan,AFC Wimbledon,2026-04-25T15:00:00+01:00,FT,0,The Brick Community Stadium,M. Corlett
1387642,2026-04-25_cardiff_northampton,League One,41,2025,2026-04-25,43,1337,Cardiff,Northampton,2026-04-25T15:00:00+01:00,FT,0,Cardiff City Stadium,E. Duckworth
1387576,2026-04-28_northampton_barnsley,League One,41,2025,2026-04-28,1337,747,Northampton,Barnsley,2026-04-28T19:45:00+01:00,FT,0,Sixfields Stadium,"Jamie O'Connor, England"
1387577,2026-04-28_peterborough_mansfield_town,League One,41,2025,2026-04-28,1350,1374,Peterborough,Mansfield Town,2026-04-28T19:45:00+01:00,FT,570,Weston Homes Stadium,L. Sandoe
1387616,2026-04-28_stockport_county_port_vale,League One,41,2025,2026-04-28,4686,1351,Stockport County,Port Vale,2026-04-28T19:45:00+01:00,FT,0,Edgeley Park,A. Chilowicz
1387643,2026-05-02_afc_wimbledon_huddersfield,League One,41,2025,2026-05-02,1333,37,AFC Wimbledon,Huddersfield,2026-05-02T15:00:00+01:00,FT,12456,The Cherry Red Records Stadium,G. Laflin
1387644,2026-05-02_barnsley_stockport_county,League One,41,2025,2026-05-02,747,4686,Barnsley,Stockport County,2026-05-02T15:00:00+01:00,FT,0,Oakwell,S. Stockbridge
1387645,2026-05-02_bolton_luton,League One,41,2025,2026-05-02,68,1359,Bolton,Luton,2026-05-02T15:00:00+01:00,FT,19923,Toughsheet Community Stadium,C. Brook
1387646,2026-05-02_exeter_city_bradford,League One,41,2025,2026-05-02,1364,1343,Exeter City,Bradford,2026-05-02T15:00:00+01:00,FT,0,St James Park,O. Yates
1387647,2026-05-02_leyton_orient_burton_albion,League One,41,2025,2026-05-02,1373,748,Leyton Orient,Burton Albion,2026-05-02T15:00:00+01:00,FT,18618,Brisbane Road,P. Howard
1387648,2026-05-02_northampton_plymouth,League One,41,2025,2026-05-02,1337,1357,Northampton,Plymouth,2026-05-02T15:00:00+01:00,FT,0,Sixfields Stadium,B. Speedie
1387649,2026-05-02_peterborough_doncaster,League One,41,2025,2026-05-02,1350,1354,Peterborough,Doncaster,2026-05-02T15:00:00+01:00,FT,570,Weston Homes Stadium,E. Duckworth
1387650,2026-05-02_port_vale_lincoln,League One,41,2025,2026-05-02,1351,1379,Port Vale,Lincoln,2026-05-02T15:00:00+01:00,FT,0,Vale Park,A. Humphries
1387651,2026-05-02_reading_blackpool,League One,41,2025,2026-05-02,53,1356,Reading,Blackpool,2026-05-02T15:00:00+01:00,FT,0,Select Car Leasing Stadium,E. Bell
1387652,2026-05-02_stevenage_wigan,League One,41,2025,2026-05-02,1368,61,Stevenage,Wigan,2026-05-02T15:00:00+01:00,FT,0,Lamex Stadium,M. Russell
1387653,2026-05-02_wycombe_rotherham,League One,41,2025,2026-05-02,1358,73,Wycombe,Rotherham,2026-05-02T15:00:00+01:00,FT,0,Adams Park,H. Blair
1387654,2026-05-02_mansfield_town_cardiff,League One,41,2025,2026-05-02,1374,43,Mansfield Town,Cardiff,2026-05-02T15:00:00+01:00,FT,0,One Call Stadium,C. Breakspear
