fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1379320,2026-05-10_burnley_aston_villa,Premier League,39,2025,2026-05-10,44,66,Burnley,Aston Villa,2026-05-10T14:00:00+01:00,FT,512,Turf Moor,"Anthony Taylor, England"
1379321,2026-05-10_crystal_palace_everton,Premier League,39,2025,2026-05-10,52,45,Crystal Palace,Everton,2026-05-10T14:00:00+01:00,FT,525,Selhurst Park,"Thomas Bramall, England"
1379325,2026-05-10_nottingham_forest_newcastle,Premier League,39,2025,2026-05-10,65,34,Nottingham Forest,Newcastle,2026-05-10T14:00:00+01:00,FT,566,City Ground,"Paul Tierney, England"
1379328,2026-05-10_west_ham_arsenal,Premier League,39,2025,2026-05-10,48,42,West Ham,Arsenal,2026-05-10T16:30:00+01:00,NS,598,London Stadium,C. Kavanagh
1379306,2026-04-24_sunderland_nottingham_forest,Premier League,39,2025,2026-04-24,746,65,Sunderland,Nottingham Forest,2026-04-24T20:00:00+01:00,FT,589,Stadium of Light,"Darren England, England"
1379299,2026-04-25_arsenal_newcastle,Premier League,39,2025,2026-04-25,42,34,Arsenal,Newcastle,2026-04-25T17:30:00+01:00,FT,494,Emirates Stadium,"Samuel Barrott, England"
1379303,2026-04-25_fulham_aston_villa,Premier League,39,2025,2026-04-25,36,66,Fulham,Aston Villa,2026-04-25T12:30:00+01:00,FT,535,Craven Cottage,"Michael Oliver, England"
1379304,2026-04-25_liverpool_crystal_palace,Premier League,39,2025,2026-04-25,40,52,Liverpool,Crystal Palace,2026-04-25T15:00:00+01:00,FT,550,Anfield,"Andy Madley, England"
1379307,2026-04-25_west_ham_everton,Premier League,39,2025,2026-04-25,48,45,West Ham,Everton,2026-04-25T15:00:00+01:00,FT,598,London Stadium,"Stuart Attwell, England"
1379308,2026-04-25_wolves_tottenham,Premier League,39,2025,2026-04-25,39,47,Wolves,Tottenham,2026-04-25T15:00:00+01:00,FT,600,Molineux Stadium,"Anthony Taylor, England"
1379305,2026-04-27_manchester_united_brentford,Premier League,39,2025,2026-04-27,33,55,Manchester United,Brentford,2026-04-27T20:00:00+01:00,FT,556,Old Trafford,"Chris Kavanagh, England"
1379315,2026-05-01_leeds_burnley,Premier League,39,2025,2026-05-01,63,44,Leeds,Burnley,2026-05-01T20:00:00+01:00,FT,546,Elland Road,"Thomas Bramall, England"
1379309,2026-05-02_arsenal_fulham,Premier League,39,2025,2026-05-02,42,36,Arsenal,Fulham,2026-05-02T17:30:00+01:00,FT,494,Emirates Stadium,"Jarred Gillett, Australia"
1379312,2026-05-02_brentford_west_ham,Premier League,39,2025,2026-05-02,55,48,Brentford,West Ham,2026-05-02T15:00:00+01:00,FT,10503,Brentford Community Stadium,"Craig Pawson, England"
1379317,2026-05-02_newcastle_brighton,Premier League,39,2025,2026-05-02,34,51,Newcastle,Brighton,2026-05-02T15:00:00+01:00,FT,562,St. James' Park,"Chris Kavanagh, England"
1379318,2026-05-02_wolves_sunderland,Premier League,39,2025,2026-05-02,39,746,Wolves,Sunderland,2026-05-02T15:00:00+01:00,FT,600,Molineux Stadium,"Paul Tierney, England"
1379310,2026-05-03_aston_villa_tottenham,Premier League,39,2025,2026-05-03,66,47,Aston Villa,Tottenham,2026-05-03T19:00:00+01:00,FT,495,Villa Park,"Samuel Barrott, England"
1379311,2026-05-03_bournemouth_crystal_palace,Premier League,39,2025,2026-05-03,35,52,Bournemouth,Crystal Palace,2026-05-03T14:00:00+01:00,FT,504,Vitality Stadium,"Robert Jones, England"
1379316,2026-05-03_manchester_united_liverpool,Premier League,39,2025,2026-05-03,33,40,Manchester United,Liverpool,2026-05-03T15:30:00+01:00,FT,556,Old Trafford,"Darren England, England"
1379313,2026-05-04_chelsea_nottingham_forest,Premier League,39,2025,2026-05-04,49,65,Chelsea,Nottingham Forest,2026-05-04T15:00:00+01:00,FT,519,Stamford Bridge,"Anthony Taylor, England"
1379314,2026-05-04_everton_manchester_city,Premier League,39,2025,2026-05-04,45,50,Everton,Manchester City,2026-05-04T20:00:00+01:00,FT,22033,Hill Dickinson Stadium,"Michael Oliver, England"
1379319,2026-05-09_brighton_wolves,Premier League,39,2025,2026-05-09,51,39,Brighton,Wolves,2026-05-09T15:00:00+01:00,FT,508,Amex Stadium,"John Brooks, England"
1379322,2026-05-09_fulham_bournemouth,Premier League,39,2025,2026-05-09,36,35,Fulham,Bournemouth,2026-05-09T15:00:00+01:00,FT,535,Craven Cottage,"Andy Madley, England"
1379323,2026-05-09_liverpool_chelsea,Premier League,39,2025,2026-05-09,40,49,Liverpool,Chelsea,2026-05-09T12:30:00+01:00,FT,550,Anfield,"Craig Pawson, England"
1379324,2026-05-09_manchester_city_brentford,Premier League,39,2025,2026-05-09,50,55,Manchester City,Brentford,2026-05-09T17:30:00+01:00,FT,555,Etihad Stadium,"Michael Salisbury, England"
1379326,2026-05-09_sunderland_manchester_united,Premier League,39,2025,2026-05-09,746,33,Sunderland,Manchester United,2026-05-09T15:00:00+01:00,FT,589,Stadium of Light,"Stuart Attwell, England"
