fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1387969,2026-04-24_stade_brestois_29_lens,Ligue 1,61,2025,2026-04-24,106,116,Stade Brestois 29,Lens,2026-04-24T19:45:00+01:00,FT,641,Stade Francis-Le Blé,S. Frappart
1387968,2026-04-25_angers_paris_saint_germain,Ligue 1,61,2025,2026-04-25,77,85,Angers,Paris Saint Germain,2026-04-25T18:00:00+01:00,FT,0,Stade Raymond-Kopa,J. Stinat
1387972,2026-04-25_lyon_auxerre,Ligue 1,61,2025,2026-04-25,80,108,Lyon,Auxerre,2026-04-25T14:00:00+01:00,FT,666,Parc Olympique Lyonnais,R. Buquet
1387976,2026-04-25_toulouse_monaco,Ligue 1,61,2025,2026-04-25,96,91,Toulouse,Monaco,2026-04-25T20:05:00+01:00,FT,682,Stadium de Toulouse,C. Turpin
1387970,2026-04-26_le_havre_metz,Ligue 1,61,2025,2026-04-26,111,112,Le Havre,Metz,2026-04-26T16:15:00+01:00,FT,652,Stade Océane,F. Letexier
1387971,2026-04-26_lorient_strasbourg,Ligue 1,61,2025,2026-04-26,97,95,Lorient,Strasbourg,2026-04-26T14:00:00+01:00,FT,21430,Stade du Moustoir,B. Millot
1387973,2026-04-26_marseille_nice,Ligue 1,61,2025,2026-04-26,81,84,Marseille,Nice,2026-04-26T19:45:00+01:00,FT,667,Orange Vélodrome,W. Delajod
1387974,2026-04-26_paris_fc_lille,Ligue 1,61,2025,2026-04-26,114,79,Paris FC,Lille,2026-04-26T16:15:00+01:00,FT,18861,Stade Jean Bouin,M. Vernice
1387975,2026-04-26_rennes_nantes,Ligue 1,61,2025,2026-04-26,94,83,Rennes,Nantes,2026-04-26T16:15:00+01:00,FT,680,Roazhon Park,B. Bastien
1387980,2026-05-02_metz_monaco,Ligue 1,61,2025,2026-05-02,112,91,Metz,Monaco,2026-05-02T18:00:00+01:00,FT,658,Stade Saint-Symphorien,R. Buquet
1387981,2026-05-02_nantes_marseille,Ligue 1,61,2025,2026-05-02,83,81,Nantes,Marseille,2026-05-02T14:00:00+01:00,FT,662,Stade de la Beaujoire,J. Pignard
1387982,2026-05-02_nice_lens,Ligue 1,61,2025,2026-05-02,84,116,Nice,Lens,2026-05-02T20:05:00+01:00,FT,663,Allianz Riviera,T. Leonard
1387984,2026-05-02_paris_saint_germain_lorient,Ligue 1,61,2025,2026-05-02,85,97,Paris Saint Germain,Lorient,2026-05-02T16:00:00+01:00,FT,671,Parc des Princes,B. Dechepy
1387977,2026-05-03_auxerre_angers,Ligue 1,61,2025,2026-05-03,108,77,Auxerre,Angers,2026-05-03T16:15:00+01:00,FT,636,Stade de l'Abbé Deschamps,E. Wattellier
1387978,2026-05-03_lille_le_havre,Ligue 1,61,2025,2026-05-03,79,111,Lille,Le Havre,2026-05-03T14:00:00+01:00,FT,0,Stade Pierre-Mauroy,G. Paradis
1387979,2026-05-03_lyon_rennes,Ligue 1,61,2025,2026-05-03,80,94,Lyon,Rennes,2026-05-03T19:45:00+01:00,FT,666,Parc Olympique Lyonnais,C. Turpin
1387983,2026-05-03_paris_fc_stade_brestois_29,Ligue 1,61,2025,2026-05-03,114,106,Paris FC,Stade Brestois 29,2026-05-03T16:15:00+01:00,FT,18861,Stade Jean Bouin,M. Bollengier
1387985,2026-05-03_strasbourg_toulouse,Ligue 1,61,2025,2026-05-03,95,96,Strasbourg,Toulouse,2026-05-03T16:15:00+01:00,FT,681,Stade de la Meinau,G. Angoula
