fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1388596,2026-05-09_fc_augsburg_borussia_monchengladbach,Bundesliga,78,2025,2026-05-09,170,163,FC Augsburg,Borussia Mönchengladbach,2026-05-09T14:30:00+01:00,FT,698,WWK Arena,"Tobias Reichel, Germany"
1388600,2026-05-09_1899_hoffenheim_werder_bremen,Bundesliga,78,2025,2026-05-09,167,162,1899 Hoffenheim,Werder Bremen,2026-05-09T14:30:00+01:00,FT,724,PreZero Arena,"Sören Storks, Germany"
1388602,2026-05-09_rb_leipzig_fc_st_pauli,Bundesliga,78,2025,2026-05-09,173,186,RB Leipzig,FC St. Pauli,2026-05-09T14:30:00+01:00,FT,0,Red Bull Arena,"Benjamin Brand, Germany"
1388603,2026-05-09_vfb_stuttgart_bayer_leverkusen,Bundesliga,78,2025,2026-05-09,172,168,VfB Stuttgart,Bayer Leverkusen,2026-05-09T14:30:00+01:00,FT,0,MHP Arena,"Robert Schröder, Germany"
1388604,2026-05-09_vfl_wolfsburg_bayern_munchen,Bundesliga,78,2025,2026-05-09,161,157,VfL Wolfsburg,Bayern München,2026-05-09T17:30:00+01:00,FT,752,Volkswagen Arena,"Matthias Jollenbeck, Germany"
1388598,2026-05-10_1_fc_koln_1_fc_heidenheim,Bundesliga,78,2025,2026-05-10,192,180,1. FC Köln,1. FC Heidenheim,2026-05-10T16:30:00+01:00,2H,0,RheinEnergieSTADION,"Sven Jablonski, Germany"
1388599,2026-05-10_hamburger_sv_sc_freiburg,Bundesliga,78,2025,2026-05-10,175,160,Hamburger SV,SC Freiburg,2026-05-10T14:30:00+01:00,FT,720,Volksparkstadion,"Felix Zwayer, Germany"
1388601,2026-05-10_fsv_mainz_05_union_berlin,Bundesliga,78,2025,2026-05-10,164,182,FSV Mainz 05,Union Berlin,2026-05-10T18:30:00+01:00,NS,11899,Mewa Arena,
1388584,2026-04-24_rb_leipzig_union_berlin,Bundesliga,78,2025,2026-04-24,173,182,RB Leipzig,Union Berlin,2026-04-24T19:30:00+01:00,FT,0,Red Bull Arena,"Sven Jablonski, Germany"
1388578,2026-04-25_fc_augsburg_eintracht_frankfurt,Bundesliga,78,2025,2026-04-25,170,169,FC Augsburg,Eintracht Frankfurt,2026-04-25T14:30:00+01:00,FT,698,WWK Arena,"Harm Osmers, Germany"
1388580,2026-04-25_1_fc_koln_bayer_leverkusen,Bundesliga,78,2025,2026-04-25,192,168,1. FC Köln,Bayer Leverkusen,2026-04-25T14:30:00+01:00,FT,0,RheinEnergieStadion,"Robert Hartmann, Germany"
1388581,2026-04-25_hamburger_sv_1899_hoffenheim,Bundesliga,78,2025,2026-04-25,175,167,Hamburger SV,1899 Hoffenheim,2026-04-25T17:30:00+01:00,FT,720,Volksparkstadion,"Robert Schröder, Germany"
1388582,2026-04-25_1_fc_heidenheim_fc_st_pauli,Bundesliga,78,2025,2026-04-25,180,186,1. FC Heidenheim,FC St. Pauli,2026-04-25T14:30:00+01:00,FT,723,Voith-Arena,"Felix Zwayer, Germany"
1388583,2026-04-25_fsv_mainz_05_bayern_munchen,Bundesliga,78,2025,2026-04-25,164,157,FSV Mainz 05,Bayern München,2026-04-25T14:30:00+01:00,FT,11899,Mewa Arena,"Martin Petersen, Germany"
1388586,2026-04-25_vfl_wolfsburg_borussia_monchengladbach,Bundesliga,78,2025,2026-04-25,161,163,VfL Wolfsburg,Borussia Mönchengladbach,2026-04-25T14:30:00+01:00,FT,752,Volkswagen Arena,"Tobias Stieler, Germany"
1388579,2026-04-26_borussia_dortmund_sc_freiburg,Bundesliga,78,2025,2026-04-26,165,160,Borussia Dortmund,SC Freiburg,2026-04-26T16:30:00+01:00,FT,0,Signal Iduna Park,"Robin Braun, Germany"
1388585,2026-04-26_vfb_stuttgart_werder_bremen,Bundesliga,78,2025,2026-04-26,172,162,VfB Stuttgart,Werder Bremen,2026-04-26T14:30:00+01:00,FT,0,MHP Arena,"Christian Dingert, Germany"
1388587,2026-05-02_bayer_leverkusen_rb_leipzig,Bundesliga,78,2025,2026-05-02,168,173,Bayer Leverkusen,RB Leipzig,2026-05-02T17:30:00+01:00,FT,699,BayArena,"Tobias Welz, Germany"
1388588,2026-05-02_bayern_munchen_1_fc_heidenheim,Bundesliga,78,2025,2026-05-02,157,180,Bayern München,1. FC Heidenheim,2026-05-02T14:30:00+01:00,FT,0,Allianz Arena,"Frank Willenborg, Germany"
1388590,2026-05-02_eintracht_frankfurt_hamburger_sv,Bundesliga,78,2025,2026-05-02,169,175,Eintracht Frankfurt,Hamburger SV,2026-05-02T14:30:00+01:00,FT,0,Deutsche Bank Park,"Deniz Aytekin, Germany"
1388592,2026-05-02_1899_hoffenheim_vfb_stuttgart,Bundesliga,78,2025,2026-05-02,167,172,1899 Hoffenheim,VfB Stuttgart,2026-05-02T14:30:00+01:00,FT,724,PreZero Arena,"Sascha Stegemann, Germany"
1388594,2026-05-02_union_berlin_1_fc_koln,Bundesliga,78,2025,2026-05-02,182,192,Union Berlin,1. FC Köln,2026-05-02T14:30:00+01:00,FT,748,Stadion An der Alten Försterei,"Daniel Schlager, Germany"
1388595,2026-05-02_werder_bremen_fc_augsburg,Bundesliga,78,2025,2026-05-02,162,170,Werder Bremen,FC Augsburg,2026-05-02T14:30:00+01:00,FT,0,Weserstadion,"Daniel Siebert, Germany"
1388589,2026-05-03_borussia_monchengladbach_borussia_dortmund,Bundesliga,78,2025,2026-05-03,163,165,Borussia Mönchengladbach,Borussia Dortmund,2026-05-03T16:30:00+01:00,FT,20471,BORUSSIA-PARK,"Florian Badstubner, Germany"
1388591,2026-05-03_sc_freiburg_vfl_wolfsburg,Bundesliga,78,2025,2026-05-03,160,161,SC Freiburg,VfL Wolfsburg,2026-05-03T18:30:00+01:00,FT,12717,Europa-Park Stadion,"Bastian Dankert, Germany"
