fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1378214,2026-05-09_cagliari_udinese,Serie A,135,2025,2026-05-09,490,494,Cagliari,Udinese,2026-05-09T14:00:00+01:00,FT,12275,Unipol Domus,"Federico Dionisi, Italy"
1378217,2026-05-09_lazio_inter,Serie A,135,2025,2026-05-09,487,505,Lazio,Inter,2026-05-09T17:00:00+01:00,FT,0,Stadio Olimpico,"Rosario Abisso, Italy"
1378218,2026-05-09_lecce_juventus,Serie A,135,2025,2026-05-09,867,496,Lecce,Juventus,2026-05-09T19:45:00+01:00,FT,0,Via del Mare,"Andrea Colombo, Italy"
1378215,2026-05-10_cremonese_pisa,Serie A,135,2025,2026-05-10,520,801,Cremonese,Pisa,2026-05-10T14:00:00+01:00,FT,894,Stadio Giovanni Zini,"Giovanni Ayroldi, Italy"
1378216,2026-05-10_fiorentina_genoa,Serie A,135,2025,2026-05-10,502,495,Fiorentina,Genoa,2026-05-10T14:00:00+01:00,FT,0,Stadio Artemio Franchi,"Luca Massimi, Italy"
1378219,2026-05-10_ac_milan_atalanta,Serie A,135,2025,2026-05-10,489,499,AC Milan,Atalanta,2026-05-10T19:45:00+01:00,NS,907,Stadio Giuseppe Meazza,L. Zufferli
1378221,2026-05-10_parma_as_roma,Serie A,135,2025,2026-05-10,523,497,Parma,AS Roma,2026-05-10T17:00:00+01:00,2H,921,Stadio Ennio Tardini,"Daniele Chiffi, Italy"
1378223,2026-05-10_hellas_verona_como,Serie A,135,2025,2026-05-10,504,895,Hellas Verona,Como,2026-05-10T11:30:00+01:00,FT,0,Stadio Marcantonio Bentegodi,"Marco Di Bello, Italy"
1378220,2026-05-11_napoli_bologna,Serie A,135,2025,2026-05-11,492,500,Napoli,Bologna,2026-05-11T19:45:00+01:00,NS,0,Stadio Diego Armando Maradona,M. Piccinini
1378200,2026-04-24_napoli_cremonese,Serie A,135,2025,2026-04-24,492,520,Napoli,Cremonese,2026-04-24T19:45:00+01:00,FT,0,Stadio Diego Armando Maradona,"Daniele Doveri, Italy"
1378194,2026-04-25_bologna_as_roma,Serie A,135,2025,2026-04-25,500,497,Bologna,AS Roma,2026-04-25T17:00:00+01:00,FT,881,Stadio Renato Dall'Ara,"Marco Di Bello, Italy"
1378201,2026-04-25_parma_pisa,Serie A,135,2025,2026-04-25,523,801,Parma,Pisa,2026-04-25T14:00:00+01:00,FT,921,Stadio Ennio Tardini,"Andrea Calzavara, Italy"
1378203,2026-04-25_hellas_verona_lecce,Serie A,135,2025,2026-04-25,504,867,Hellas Verona,Lecce,2026-04-25T19:45:00+01:00,FT,0,Stadio Marcantonio Bentegodi,"Davide Massa, Italy"
