fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1494636,2026-04-25_fredrikstad_viking,Eliteserien,103,2026,2026-04-25,2149,759,Fredrikstad,Viking,2026-04-25T15:00:00+01:00,FT,0,Fredrikstad Stadion,"Sigurd Smehus Kringstad, Norway"
1494637,2026-04-25_rosenborg_brann,Eliteserien,103,2026,2026-04-25,331,319,Rosenborg,Brann,2026-04-25T17:00:00+01:00,FT,1190,Lerkendal Stadion,"Rohit Saggi, Norway"
1494638,2026-04-26_molde_valerenga,Eliteserien,103,2026,2026-04-26,329,326,Molde,Valerenga,2026-04-26T13:30:00+01:00,FT,1184,Aker Stadion,"Christian Moen, Norway"
1494639,2026-04-26_aalesund_kristiansund_bk,Eliteserien,103,2026,2026-04-26,757,320,Aalesund,Kristiansund BK,2026-04-26T16:00:00+01:00,FT,0,Color Line Stadion,"Ola Hobber Nilsen, Norway"
1494640,2026-04-26_ham_kam_start,Eliteserien,103,2026,2026-04-26,2159,334,Ham-Kam,Start,2026-04-26T16:00:00+01:00,FT,1177,Briskeby Arena,"Stian Rovig Sletner, Norway"
1494641,2026-04-26_kfum_oslo_sarpsborg_08_ff,Eliteserien,103,2026,2026-04-26,2143,333,KFUM Oslo,Sarpsborg 08 FF,2026-04-26T16:00:00+01:00,FT,1179,KFUM Arena,"Kristoffer Hagenes, Norway"
1494642,2026-04-26_tromso_sandefjord,Eliteserien,103,2026,2026-04-26,325,332,Tromso,Sandefjord,2026-04-26T16:00:00+01:00,FT,19681,Romssa Arena,"Marius Lien, Norway"
1494643,2026-04-26_lillestrom_bodo_glimt,Eliteserien,103,2026,2026-04-26,321,327,Lillestrom,Bodo/Glimt,2026-04-26T18:15:00+01:00,FT,0,Åråsen,"Tore Hansen, Norway"
1494724,2026-04-29_tromso_brann,Eliteserien,103,2026,2026-04-29,325,319,Tromso,Brann,2026-04-29T18:00:00+01:00,FT,19681,Romssa Arena,"Sigurd Smehus Kringstad, Norway"
1494732,2026-04-30_bodo_glimt_start,Eliteserien,103,2026,2026-04-30,327,334,Bodo/Glimt,Start,2026-04-30T18:00:00+01:00,FT,1175,Aspmyra Stadion,"Ola Hobber Nilsen, Norway"
1494644,2026-05-01_viking_rosenborg,Eliteserien,103,2026,2026-05-01,759,331,Viking,Rosenborg,2026-05-01T17:00:00+01:00,FT,21732,Lyse Arena,"Sivert Amland, Norway"
1494645,2026-05-02_brann_fredrikstad,Eliteserien,103,2026,2026-05-02,319,2149,Brann,Fredrikstad,2026-05-02T17:00:00+01:00,FT,1176,Brann Stadion,"Svein Tore Sinnes, Norway"
1494646,2026-05-03_lillestrom_sarpsborg_08_ff,Eliteserien,103,2026,2026-05-03,321,333,Lillestrom,Sarpsborg 08 FF,2026-05-03T13:30:00+01:00,FT,0,Åråsen,"Mohammad Usman Aslam, Norway"
1494647,2026-05-03_kristiansund_bk_ham_kam,Eliteserien,103,2026,2026-05-03,320,2159,Kristiansund BK,Ham-Kam,2026-05-03T16:00:00+01:00,FT,0,Kristiansund Stadion,"Christian Moen, Norway"
1494648,2026-05-03_sandefjord_aalesund,Eliteserien,103,2026,2026-05-03,332,757,Sandefjord,Aalesund,2026-05-03T16:00:00+01:00,FT,20418,Jotun Arena,"Stian Rovig Sletner, Norway"
1494649,2026-05-03_start_tromso,Eliteserien,103,2026,2026-05-03,334,325,Start,Tromso,2026-05-03T16:00:00+01:00,FT,1197,Sparebanken Sør Arena,"Jorgen Haugen, Norway"
1494650,2026-05-03_valerenga_kfum_oslo,Eliteserien,103,2026,2026-05-03,326,2143,Valerenga,KFUM Oslo,2026-05-03T18:15:00+01:00,FT,1203,Intility Arena,"Espen Eskas, Norway"
1494651,2026-05-04_bodo_glimt_molde,Eliteserien,103,2026,2026-05-04,327,329,Bodo/Glimt,Molde,2026-05-04T18:00:00+01:00,FT,1175,Aspmyra Stadion,"Rohit Saggi, Norway"
