fixture_id,fixture_key,league,league_id,season,match_date,home_team_id,away_team_id,home_team_name,away_team_name,kickoff_ts_utc,status,venue_id,venue_name,referee_name
1540005,2026-04-25_aberdeen_kilmarnock,Premiership,179,2025,2026-04-25,252,250,Aberdeen,Kilmarnock,2026-04-25T15:00:00+01:00,FT,1383,Pittodrie Stadium,N. Walsh
1540006,2026-04-25_st_mirren_livingston,Premiership,179,2025,2026-04-25,251,255,ST Mirren,Livingston,2026-04-25T15:00:00+01:00,FT,11913,The SMISA Stadium,D. Dickinson
1540020,2026-04-25_celtic_falkirk,Premiership,179,2025,2026-04-25,247,1389,Celtic,Falkirk,2026-04-25T17:30:00+01:00,FT,1386,Celtic Park,R. Lee
1540007,2026-04-26_dundee_utd_dundee,Premiership,179,2025,2026-04-26,1386,253,Dundee Utd,Dundee,2026-04-26T14:00:00+01:00,FT,1388,Tannadice Park,"Matthew MacDermid, Scotland"
1540021,2026-04-26_rangers_motherwell,Premiership,179,2025,2026-04-26,257,256,Rangers,Motherwell,2026-04-26T15:00:00+01:00,FT,1401,Ibrox Stadium,"Kevin Clancy, Scotland"
1540022,2026-04-26_hibernian_heart_of_midlothian,Premiership,179,2025,2026-04-26,249,254,Hibernian,Heart Of Midlothian,2026-04-26T16:30:00+01:00,FT,0,Easter Road,"Donald Robertson, Scotland"
1540008,2026-05-01_livingston_aberdeen,Premiership,179,2025,2026-05-01,255,252,Livingston,Aberdeen,2026-05-01T19:45:00+01:00,FT,0,The Home of the Set Fare Arena,"Calum Scott, Scotland"
1540009,2026-05-02_dundee_st_mirren,Premiership,179,2025,2026-05-02,253,251,Dundee,ST Mirren,2026-05-02T15:00:00+01:00,FT,0,Dens Park,"Steven McLean, Scotland"
1540010,2026-05-02_kilmarnock_dundee_utd,Premiership,179,2025,2026-05-02,250,1386,Kilmarnock,Dundee Utd,2026-05-02T15:00:00+01:00,FT,0,Rugby Park,"Kevin Clancy, Scotland"
1540023,2026-05-02_falkirk_motherwell,Premiership,179,2025,2026-05-02,1389,256,Falkirk,Motherwell,2026-05-02T15:00:00+01:00,FT,0,Falkirk Stadium,"Daniel McFarlane, Scotland"
1540024,2026-05-03_hibernian_celtic,Premiership,179,2025,2026-05-03,249,247,Hibernian,Celtic,2026-05-03T12:00:00+01:00,FT,0,Easter Road,"David Dickinson, Scotland"
1540025,2026-05-04_heart_of_midlothian_rangers,Premiership,179,2025,2026-05-04,254,257,Heart Of Midlothian,Rangers,2026-05-04T17:30:00+01:00,FT,1393,Tynecastle Park,J. Beaton
