fixture_id,team_id,player_id,player_name,formation,is_starting_xi,position,lineup_known_pre_kickoff_flag,lineup_published_ts_utc
1387576,747,17392,E. O'Connell,4-2-3-1,1,D,0,
1387576,747,19108,D. McGoldrick,4-2-3-1,1,M,0,
1387576,747,19447,J. Earl,4-2-3-1,1,D,0,
1387576,747,19649,T. Bradshaw,4-2-3-1,1,F,0,
1387576,747,19701,L. Connell,4-2-3-1,1,M,0,
1387576,747,22274,M. de Gevigney,4-2-3-1,1,D,0,
1387576,747,82031,C. O'Keeffe,4-2-3-1,1,D,0,
1387576,747,292116,R. Cleary,4-2-3-1,1,M,0,
1387576,747,315767,P. Kelly,4-2-3-1,1,M,0,
1387576,747,430830,J. Bland,4-2-3-1,1,M,0,
1387576,747,544666,K. Flavell,4-2-3-1,1,,0,
1387576,747,37711,A. Phillips,4-2-3-1,0,M,0,
1387576,747,41735,K. Nwakali,4-2-3-1,0,M,0,
1387576,747,107087,S. Banks,4-2-3-1,0,F,0,
1387576,747,284554,O. Goodman,4-2-3-1,0,G,0,
1387576,747,292111,G. Gent,4-2-3-1,0,D,0,
1387576,747,342818,J. Shepherd,4-2-3-1,0,D,0,
1387576,747,470082,L. Farrell,4-2-3-1,0,F,0,
1387576,1337,17790,S. Hoskins,5-3-2,1,F,0,
1387576,1337,19798,C. McGeehan,5-3-2,1,M,0,
1387576,1337,19977,L. Burge,5-3-2,1,G,0,
1387576,1337,20425,J. Guthrie,5-3-2,1,D,0,
1387576,1337,44813,D. Campbell,5-3-2,1,M,0,
1387576,1337,69418,C. McCarthy,5-3-2,1,D,0,
1387576,1337,108465,N. Guinness-Walker,5-3-2,1,D,0,
1387576,1337,192351,T. Fornah,5-3-2,1,M,0,
1387576,1337,278882,M. Dyche,5-3-2,1,D,0,
1387576,1337,327607,K. McAdam,5-3-2,1,D,0,
1387576,1337,434183,J. Evans,5-3-2,1,F,0,
1387576,1337,18000,R. Fitzsimons,5-3-2,0,G,0,
1387576,1337,19554,M. Jacobs,5-3-2,0,M,0,
1387576,1337,20148,E. List,5-3-2,0,M,0,
1387576,1337,20159,T. Eaves,5-3-2,0,F,0,
1387576,1337,144725,K. Swyer,5-3-2,0,F,0,
1387576,1337,152947,T. Taylor,5-3-2,0,M,0,
1387576,1337,169243,J. Vale,5-3-2,0,F,0,
1387577,1350,17602,A. Collins,4-2-3-1,1,M,0,
1387577,1350,19378,T. Lees,4-2-3-1,1,D,0,
1387577,1350,19844,A. Bass,4-2-3-1,1,G,0,
1387577,1350,156160,J. Mendy,4-2-3-1,1,D,0,
1387577,1350,284191,H. Leonard,4-2-3-1,1,M,0,
1387577,1350,284204,D. Okagbue,4-2-3-1,1,D,0,
1387577,1350,284215,B. Woods,4-2-3-1,1,M,0,
1387577,1350,383826,J. Dornelly,4-2-3-1,1,D,0,
1387577,1350,405300,K. Lisbie,4-2-3-1,1,M,0,
1387577,1350,519875,B. Shofowoke,4-2-3-1,1,M,0,
1387577,1350,644247,D. Kamara,4-2-3-1,1,,0,
1387577,1350,171047,C. Hayes,4-2-3-1,0,M,0,
1387577,1350,180455,M. Garbett,4-2-3-1,0,M,0,
1387577,1350,313240,B. Smith,4-2-3-1,0,G,0,
1387577,1350,328078,B. Khela,4-2-3-1,0,M,0,
1387577,1350,434012,H. Mills,4-2-3-1,0,D,0,
1387577,1350,445923,O. Aderoju,4-2-3-1,0,,0,
1387577,1350,544659,J. Morgan,4-2-3-1,0,,0,
1387577,1374,17453,R. Sweeney,4-1-3-2,1,D,0,
1387577,1374,17710,K. Knoyle,4-1-3-2,1,D,0,
1387577,1374,18009,E. Hewitt,4-1-3-2,1,D,0,
1387577,1374,19139,T. Roberts,4-1-3-2,1,F,0,
1387577,1374,19967,L. Reed,4-1-3-2,1,M,0,
1387577,1374,20035,L. Akins,4-1-3-2,1,M,0,
1387577,1374,20344,S. McLaughlin,4-1-3-2,1,D,0,
1387577,1374,20419,L. Roberts,4-1-3-2,1,G,0,
1387577,1374,53326,W. Evans,4-1-3-2,1,F,0,
1387577,1374,138307,R. Hendry,4-1-3-2,1,M,0,
1387577,1374,152946,J. Russell,4-1-3-2,1,M,0,
1387577,1374,17698,J. Bowery,4-1-3-2,0,D,0,
1387577,1374,17860,R. Oates,4-1-3-2,0,F,0,
1387577,1374,308668,N. Moriah-Welsh,4-1-3-2,0,M,0,
1387577,1374,327604,J. Gardner,4-1-3-2,0,F,0,
1387577,1374,349383,O. Irow,4-1-3-2,0,F,0,
1387577,1374,526483,E. Hartmann,4-1-3-2,0,M,0,
1387577,1374,629238,O. Taylor,4-1-3-2,0,,0,
1387616,1351,620,C. Humphreys,3-4-3,1,D,0,
1387616,1351,6938,B. Waine,3-4-3,1,F,0,
1387616,1351,7029,J. Gauci,3-4-3,1,G,0,
1387616,1351,18523,L. Gordon,3-4-3,1,M,0,
1387616,1351,19468,T. Magloire,3-4-3,1,D,0,
1387616,1351,19742,G. Ward,3-4-3,1,M,0,
1387616,1351,148100,J. Lawrence-Gabriel,3-4-3,1,D,0,
1387616,1351,155131,B. Garrity,3-4-3,1,M,0,
1387616,1351,328069,G. Hall,3-4-3,1,F,0,
1387616,1351,394588,R. Walters,3-4-3,1,M,0,
1387616,1351,531381,M. Sherif,3-4-3,1,,0,
1387616,1351,18185,R. Croasdale,3-4-3,0,M,0,
1387616,1351,19074,O. Hernandez,3-4-3,0,F,0,
1387616,1351,19324,G. Byers,3-4-3,0,M,0,
1387616,1351,19627,B. Amos,3-4-3,0,G,0,
1387616,1351,20054,B. Heneghan,3-4-3,0,D,0,
