fixture_id,team_id,player_id,player_name,formation,is_starting_xi,position,lineup_known_pre_kickoff_flag,lineup_published_ts_utc
1387968,77,3234,A. Bamba,5-3-2,1,D,0,
1387968,77,20554,H. Belkebla,5-3-2,1,M,0,
1387968,77,21145,P. Capelle,5-3-2,1,M,0,
1387968,77,21381,J. Lefort,5-3-2,1,D,0,
1387968,77,22220,H. Koffi,5-3-2,1,G,0,
1387968,77,37652,B. van den Boomen,5-3-2,1,M,0,
1387968,77,174660,L. Raolisoa,5-3-2,1,D,0,
1387968,77,191289,A. Sbai,5-3-2,1,F,0,
1387968,77,343609,J. Ekomie,5-3-2,1,D,0,
1387968,77,385569,E. Biumla,5-3-2,1,D,0,
1387968,77,457541,P. Peter,5-3-2,1,F,0,
1387968,77,20817,G. Koyalipou,5-3-2,0,F,0,
1387968,77,41146,F. Hanin,5-3-2,0,D,0,
1387968,77,174973,M. Zinga,5-3-2,0,G,0,
1387968,77,271540,O. Camara,5-3-2,0,D,0,
1387968,77,289555,L. Mouton,5-3-2,0,M,0,
1387968,77,403277,L. Machine,5-3-2,0,F,0,
1387968,77,419595,D. Sinate,5-3-2,0,M,0,
1387968,77,570586,M. Gernigon,5-3-2,0,D,0,
1387968,77,655113,B. Diatta,5-3-2,0,M,0,
1387968,85,9,A. Hakimi,4-3-3,1,D,0,
1387968,85,33,L. Hernandez,4-3-3,1,D,0,
1387968,85,328,F. Ruiz,4-3-3,1,M,0,
1387968,85,927,Lee Kang-In,4-3-3,1,F,0,
1387968,85,2068,M. Safonov,4-3-3,1,G,0,
1387968,85,16367,W. Pacho,4-3-3,1,D,0,
1387968,85,41585,G. Ramos,4-3-3,1,F,0,
1387968,85,161671,I. Zabarnyi,4-3-3,1,D,0,
1387968,85,161904,B. Barcola,4-3-3,1,F,0,
1387968,85,307835,L. Beraldo,4-3-3,1,M,0,
1387968,85,409216,S. Mayulu,4-3-3,1,M,0,
1387968,85,153,O. Dembele,4-3-3,0,F,0,
1387968,85,483,K. Kvaratskhelia,4-3-3,0,F,0,
1387968,85,162453,L. Chevalier,4-3-3,0,G,0,
1387968,85,263482,N. Mendes,4-3-3,0,D,0,
1387968,85,335051,J. Neves,4-3-3,0,M,0,
1387968,85,336657,W. Zaire-Emery,4-3-3,0,M,0,
1387968,85,343027,D. Doue,4-3-3,0,F,0,
1387968,85,446249,I. Mbaye,4-3-3,0,F,0,
1387968,85,491087,D. Fernandez,4-3-3,0,M,0,
1387969,106,664,L. Tousart,4-1-4-1,1,M,0,
1387969,106,2214,R. Del Castillo,4-1-4-1,1,M,0,
