fixture_id,team_id,player_id,player_name,formation,is_starting_xi,position,lineup_known_pre_kickoff_flag,lineup_published_ts_utc
1378194,497,249,D. Malen,3-4-2-1,1,F,0,
1378194,497,556,M. Svilar,3-4-2-1,1,G,0,
1378194,497,778,B. Cristante,3-4-2-1,1,M,0,
1378194,497,1807,E. Ndicka,3-4-2-1,1,D,0,
1378194,497,2669,M. Hermoso,3-4-2-1,1,D,0,
1378194,497,22222,Z. Celik,3-4-2-1,1,M,0,
1378194,497,30425,G. Mancini,3-4-2-1,1,D,0,
1378194,497,277003,N. El Aynaoui,3-4-2-1,1,M,0,
1378194,497,323936,M. Soule,3-4-2-1,1,F,0,
1378194,497,349001,Wesley Franca,3-4-2-1,1,M,0,
1378194,497,356888,N. Pisilli,3-4-2-1,1,F,0,
1378194,497,227,Angelino,3-4-2-1,0,D,0,
1378194,497,791,S. El Shaarawy,3-4-2-1,0,F,0,
1378194,497,875,P. Dybala,3-4-2-1,0,F,0,
1378194,497,1600,K. Tsimikas,3-4-2-1,0,D,0,
1378194,497,30418,P. Gollini,3-4-2-1,0,G,0,
1378194,497,162452,D. Rensch,3-4-2-1,0,D,0,
1378194,497,286639,B. Zaragoza,3-4-2-1,0,F,0,
1378194,497,342019,D. Ghilardi,3-4-2-1,0,D,0,
1378194,497,384543,J. Ziolkowski,3-4-2-1,0,D,0,
1378194,497,435482,R. Vaz,3-4-2-1,0,F,0,
1378194,497,452033,L. Venturino,3-4-2-1,0,F,0,
1378194,497,483676,G. De Marzi,3-4-2-1,0,G,0,
1378194,500,134,J. Miranda,3-4-2-1,1,M,0,
1378194,500,1929,J. Lucumi,3-4-2-1,1,D,0,
1378194,500,2807,R. Freuler,3-4-2-1,1,M,0,
1378194,500,30488,R. Orsolini,3-4-2-1,1,F,0,
1378194,500,31098,F. Ravaglia,3-4-2-1,1,G,0,
1378194,500,39254,T. Heggem,3-4-2-1,1,D,0,
1378194,500,41734,Joao Mario,3-4-2-1,1,M,0,
1378194,500,44814,L. Ferguson,3-4-2-1,1,M,0,
1378194,500,278095,J. Rowe,3-4-2-1,1,F,0,
1378194,500,311067,S. Castro,3-4-2-1,1,F,0,
1378194,500,416062,E. Fauske Helland,3-4-2-1,1,D,0,
1378194,500,1014,S. Sohm,3-4-2-1,0,M,0,
1378194,500,1322,N. Moro,3-4-2-1,0,M,0,
1378194,500,30438,N. Cambiaghi,3-4-2-1,0,F,0,
1378194,500,30498,L. De Silvestri,3-4-2-1,0,D,0,
1378194,500,30542,J. Odgaard,3-4-2-1,0,F,0,
1378194,500,30553,C. Lykogiannis,3-4-2-1,0,D,0,
1378194,500,31273,T. Pobega,3-4-2-1,0,M,0,
1378194,500,128461,N. Zortea,3-4-2-1,0,D,0,
1378194,500,287564,M. Vitik,3-4-2-1,0,D,0,
1378194,500,347265,B. Dominguez,3-4-2-1,0,F,0,
1378194,500,446089,M. Pessina,3-4-2-1,0,G,0,
1378194,500,584426,F. Castaldo,3-4-2-1,0,F,0,
1378194,500,616142,M. Franceschelli,3-4-2-1,0,G,0,
1378195,490,215,S. Esposito,5-3-2,1,F,0,
1378195,490,325,G. Gaetano,5-3-2,1,M,0,
1378195,490,2484,Y. Mina,5-3-2,1,D,0,
1378195,490,30505,M. Adopo,5-3-2,1,D,0,
1378195,490,30561,A. Deiola,5-3-2,1,M,0,
1378195,490,30731,E. Caprile,5-3-2,1,G,0,
1378195,490,41964,J. Pedro,5-3-2,1,D,0,
1378195,490,56851,M. Folorunsho,5-3-2,1,M,0,
1378195,490,321744,A. Obert,5-3-2,1,D,0,
1378195,490,415155,J. Rodriguez,5-3-2,1,D,0,
1378195,490,626704,P. Mendy,5-3-2,1,F,0,
1378195,490,200,G. Zappa,5-3-2,0,D,0,
1378195,490,3737,A. Sherri,5-3-2,0,G,0,
1378195,490,30509,A. Belotti,5-3-2,0,F,0,
1378195,490,31499,G. Borrelli,5-3-2,0,F,0,
