fixture_id,team_id,player_id,player_name,formation,is_starting_xi,position,lineup_known_pre_kickoff_flag,lineup_published_ts_utc
1494636,759,6937,G. Stensness,4-4-2,1,D,0,
1494636,759,15622,P. Christiansen,4-4-2,1,F,0,
1494636,759,39040,K. Haugen,4-4-2,1,D,0,
1494636,759,39145,Z. Tripic,4-4-2,1,M,0,
1494636,759,39285,K. Askildsen,4-4-2,1,M,0,
1494636,759,94541,J. Bell,4-4-2,1,M,0,
1494636,759,180937,H. Falchener,4-4-2,1,D,0,
1494636,759,204996,L. Belko,4-4-2,1,G,0,
1494636,759,264710,H. Heggheim,4-4-2,1,D,0,
1494636,759,318591,S. Kvia-Egeskog,4-4-2,1,F,0,
1494636,759,465702,N. Fuglestad,4-4-2,1,M,0,
1494636,759,15712,A. Baertelsen,4-4-2,0,D,0,
1494636,759,39130,S. Bjorshol,4-4-2,0,D,0,
1494636,759,191732,H. J. Haugen,4-4-2,0,D,0,
1494636,759,273271,H. Mikaelsson,4-4-2,0,F,0,
1494636,759,368793,E. Austbo,4-4-2,0,F,0,
1494636,759,464563,T. Moi,4-4-2,0,M,0,
1494636,759,464564,O. Visted,4-4-2,0,M,0,
1494636,759,531303,V. Auklend,4-4-2,0,D,0,
1494636,759,576939,S. Escobar,4-4-2,0,G,0,
1494636,2149,47776,S. Leach,5-3-2,1,M,0,
1494636,2149,57434,U. Fredriksen,5-3-2,1,D,0,
1494636,2149,60371,R. R. Shein,5-3-2,1,M,0,
1494636,2149,94983,D. Eid,5-3-2,1,D,0,
1494636,2149,111329,L. Owusu,5-3-2,1,M,0,
1494636,2149,217096,F. Holme,5-3-2,1,D,0,
1494636,2149,314341,H. Skogvold,5-3-2,1,F,0,
1494636,2149,406480,M. Borsheim,5-3-2,1,G,0,
1494636,2149,425317,O. Ohlenschlaeger,5-3-2,1,F,0,
1494636,2149,544500,S. Sorlokk,5-3-2,1,D,0,
1494636,2149,562691,J. Norbye,5-3-2,1,D,0,
1494636,2149,39309,S. Rafn,5-3-2,0,D,0,
1494636,2149,57385,O. Ovretveit,5-3-2,0,G,0,
1494636,2149,318174,A. Andresen,5-3-2,0,D,0,
1494636,2149,408481,M. Nilsson,5-3-2,0,M,0,
1494636,2149,415871,S. Laghzaoui,5-3-2,0,M,0,
1494636,2149,508060,K. Okpaleke,5-3-2,0,D,0,
1494636,2149,519922,E. Granaas,5-3-2,0,M,0,
1494636,2149,531426,F. Ghebreyohannes,5-3-2,0,D,0,
1494636,2149,564538,J. Nysveen,5-3-2,0,D,0,
1494637,319,15755,J. Thorsteinsson,4-3-3,1,F,0,
1494637,319,15832,J. Sorensen,4-3-3,1,M,0,
1494637,319,39066,F. Myhre,4-3-3,1,M,0,
1494637,319,39194,V. Dragsnes,4-3-3,1,D,0,
1494637,319,39232,F. Knudsen,4-3-3,1,D,0,
1494637,319,39239,T. Pedersen,4-3-3,1,D,0,
1494637,319,89768,K. M. Ingason,4-3-3,1,M,0,
1494637,319,98842,U. Mathisen,4-3-3,1,F,0,
1494637,319,161943,N. Holm,4-3-3,1,F,0,
1494637,319,216759,S. Nilsen,4-3-3,1,G,0,
1494637,319,304373,D. De Roeve,4-3-3,1,D,0,
1494637,319,423,R. Matondo,4-3-3,0,M,0,
1494637,319,39122,B. Finne,4-3-3,0,F,0,
1494637,319,57445,J. Soltvedt,4-3-3,0,D,0,
1494637,319,151191,K. Eriksen,4-3-3,0,M,0,
1494637,319,310076,N. Wassberg,4-3-3,0,M,0,
1494637,319,319130,M. Haaland,4-3-3,0,M,0,
1494637,319,375601,R. Holten,4-3-3,0,D,0,
1494637,319,550635,D. Mbacke,4-3-3,0,D,0,
1494637,319,572954,H. M. Hellesoy,4-3-3,0,G,0,
1494637,331,1189,E. K. Ceide,4-4-2,1,M,0,
1494637,331,12880,O. Selnaes,4-4-2,1,M,0,
1494637,331,15822,J. Mortensen,4-4-2,1,D,0,
1494637,331,25378,I. Fossum,4-4-2,1,M,0,
1494637,331,57422,S. Nordli,4-4-2,1,M,0,
1494637,331,105141,L. Wahlstedt,4-4-2,1,G,0,
1494637,331,205137,T. Nemcik,4-4-2,1,D,0,
1494637,331,319150,H. Rosten,4-4-2,1,D,0,
1494637,331,332457,T. Dahl,4-4-2,1,D,0,
1494637,331,393073,A. Chiakha,4-4-2,1,F,0,
1494637,331,427607,M. Bomholt,4-4-2,1,F,0,
1494637,331,1169,R. Sandberg,4-4-2,0,G,0,
1494637,331,39134,A. Pereira,4-4-2,0,D,0,
1494637,331,48040,A. F. Witry,4-4-2,0,D,0,
1494637,331,48111,D. Islamovic,4-4-2,0,F,0,
1494637,331,55410,S. Vaananen,4-4-2,0,M,0,
1494637,331,162262,J. Bakke,4-4-2,0,M,0,
1494637,331,339941,N. Sahsah,4-4-2,0,F,0,
1494637,331,341059,J. Reitan-Sunde,4-4-2,0,F,0,
1494637,331,416077,H. Volden,4-4-2,0,D,0,
1494638,326,8626,H. Bjordal,4-4-2,1,F,0,
1494638,326,15922,O. Hedvall,4-4-2,1,G,0,
1494638,326,16072,M. Westergaard,4-4-2,1,M,0,
1494638,326,16192,L. Haren,4-4-2,1,M,0,
1494638,326,16194,C. Lange,4-4-2,1,M,0,
1494638,326,28646,K. Finnsson,4-4-2,1,D,0,
1494638,326,39111,I. Nasberg,4-4-2,1,D,0,
1494638,326,133246,E. Sorensen,4-4-2,1,M,0,
1494638,326,151688,M. Grundetjern,4-4-2,1,F,0,
1494638,326,382977,H. Sjatil,4-4-2,1,D,0,
1494638,326,544518,A. Olsen,4-4-2,1,D,0,
1494638,326,1171,V. Hedenstad,4-4-2,0,D,0,
1494638,326,2022,S. Jarl,4-4-2,0,D,0,
1494638,326,16062,K. Tshiembe,4-4-2,0,D,0,
1494638,326,39217,P. Strand,4-4-2,0,M,0,
1494638,326,136106,O. T. Holm,4-4-2,0,M,0,
1494638,326,265838,M. Sjoeng,4-4-2,0,G,0,
1494638,326,637618,G. Rajkovic,4-4-2,0,F,0,
1494638,329,1099,F. Gulbrandsen,4-2-3-1,1,F,0,
1494638,329,24941,M. Daehli,4-2-3-1,1,M,0,
1494638,329,39036,E. Breivik,4-2-3-1,1,M,0,
1494638,329,39044,E. Hestad,4-2-3-1,1,M,0,
1494638,329,39085,B. Risa,4-2-3-1,1,D,0,
1494638,329,39089,V. Hoff,4-2-3-1,1,M,0,
1494638,329,39343,H. Stenevik,4-2-3-1,1,D,0,
1494638,329,158155,A. Posiadala,4-2-3-1,1,G,0,
1494638,329,372503,S. Granaas,4-2-3-1,1,M,0,
1494638,329,430078,S. Kabini,4-2-3-1,1,D,0,
1494638,329,553598,S. Hansen,4-2-3-1,1,D,0,
1494638,329,438,M. Linnes,4-2-3-1,0,D,0,
1494638,329,15907,J. Christensen,4-2-3-1,0,M,0,
1494638,329,48086,E. Haugan,4-2-3-1,0,D,0,
1494638,329,340246,T. Kone-Doherty,4-2-3-1,0,F,0,
1494638,329,412028,O. Spiten-Nysaeter,4-2-3-1,0,F,0,
1494638,329,425846,J. Abdullai,4-2-3-1,0,F,0,
1494638,329,443479,M. Myklebust,4-2-3-1,0,G,0,
1494638,329,469494,B. Isufi,4-2-3-1,0,M,0,
1494638,329,583651,V. Bender,4-2-3-1,0,M,0,
1494639,320,15582,A. Munksgaard,4-3-3,1,D,0,
1494639,320,39161,D. Ulvestad,4-3-3,1,D,0,
1494639,320,322601,H. Bruseth,4-3-3,1,M,0,
1494639,320,364830,A. Ronning,4-3-3,1,M,0,
1494639,320,416083,S. Kilen,4-3-3,1,F,0,
1494639,320,432675,W. Igor,4-3-3,1,M,0,
1494639,320,471180,F. Flex,4-3-3,1,D,0,
1494639,320,539302,J. Juliusson,4-3-3,1,D,0,
1494639,320,544481,L. Alvheim,4-3-3,1,F,0,
1494639,320,544505,M. Isah,4-3-3,1,F,0,
1494639,320,544512,A. Saether,4-3-3,1,G,0,
1494639,320,15707,M. Lansing,4-3-3,0,G,0,
1494639,320,39162,M. Williamsen,4-3-3,0,D,0,
1494639,320,39165,J. Isaksen,4-3-3,0,M,0,
1494639,320,57174,T. Svendsen,4-3-3,0,M,0,
1494639,320,310471,S. Skeide,4-3-3,0,M,0,
1494639,320,539284,H. Magnusson,4-3-3,0,M,0,
1494639,320,544516,N. Skuseth,4-3-3,0,D,0,
1494639,320,544531,H. Haugen,4-3-3,0,D,0,
1494639,320,544547,P. Meliga,4-3-3,0,F,0,
1494639,757,39105,K. Klaesson,5-3-2,1,G,0,
1494639,757,57275,K. Nesso,5-3-2,1,D,0,
1494639,757,61498,D. Johannsson,5-3-2,1,F,0,
1494639,757,135106,O. Gudmundsson,5-3-2,1,D,0,
1494639,757,151137,E. Hagen,5-3-2,1,M,0,
1494639,757,312874,U. Charles,5-3-2,1,D,0,
1494639,757,317446,H. Melland,5-3-2,1,M,0,
1494639,757,404521,S. Haram,5-3-2,1,D,0,
1494639,757,553597,K. Lonebu,5-3-2,1,F,0,
1494639,757,564526,A. Kjelsen,5-3-2,1,,0,
1494639,757,628926,M. Christensen,5-3-2,1,,0,
1494639,757,71711,T. Larsen,5-3-2,0,G,0,
1494639,757,139603,E. Engqvist,5-3-2,0,D,0,
1494639,757,349412,E. Myrlid,5-3-2,0,F,0,
1494639,757,363852,M. Andresen,5-3-2,0,D,0,
1494639,757,439536,I. Djantou,5-3-2,0,F,0,
1494639,757,561779,U. Syversen,5-3-2,0,,0,
1494639,757,564459,H. Hammer,5-3-2,0,,0,
1494639,757,564517,J. Orsahl,5-3-2,0,,0,
1494639,757,572731,E. Osenbroch,5-3-2,0,M,0,
1494640,334,15978,J. Larsen,5-3-2,1,G,0,
1494640,334,24905,S. Griesbeck,5-3-2,1,D,0,
1494640,334,39062,E. Reitan,5-3-2,1,D,0,
1494640,334,57253,E. Segberg,5-3-2,1,M,0,
1494640,334,57259,M. Ugland,5-3-2,1,M,0,
1494640,334,57444,E. Schulze,5-3-2,1,M,0,
1494640,334,94594,H. Lorentzen,5-3-2,1,F,0,
1494640,334,156561,T. Strannegard,5-3-2,1,D,0,
1494640,334,266316,O. Toure,5-3-2,1,D,0,
1494640,334,339824,O. Jebali,5-3-2,1,D,0,
1494640,334,456332,J. Cornelius,5-3-2,1,F,0,
1494640,334,57316,F. Palerud,5-3-2,0,D,0,
1494640,334,126756,M. Soomets,5-3-2,0,M,0,
1494640,334,304531,J. Ampofo,5-3-2,0,F,0,
1494640,334,310476,S. Strand-Kolbjornsen,5-3-2,0,G,0,
1494640,334,475783,L. Gausdal,5-3-2,0,M,0,
1494640,334,584513,A. F. Gurendal,5-3-2,0,F,0,
1494640,334,649128,F. Lien,5-3-2,0,M,0,
1494640,2159,39046,F. Sjolstad,5-3-2,1,D,0,
1494640,2159,39276,M. Sandberg,5-3-2,1,G,0,
1494640,2159,103232,P. Metcalfe,5-3-2,1,M,0,
1494640,2159,151512,H. Udahl,5-3-2,1,F,0,
1494640,2159,269583,A. Ekeroth,5-3-2,1,D,0,
1494640,2159,335958,L. Mettler,5-3-2,1,M,0,
1494640,2159,386289,E. Amundsen-Day,5-3-2,1,D,0,
1494640,2159,544479,A. Potur,5-3-2,1,M,0,
1494640,2159,544484,V. Jonsson,5-3-2,1,D,0,
1494640,2159,544514,M. Gjone,5-3-2,1,D,0,
1494640,2159,562417,M. Niang,5-3-2,1,F,0,
1494640,2159,1184,A. Trondsen,5-3-2,0,M,0,
1494640,2159,57276,S. Nilsen,5-3-2,0,D,0,
1494640,2159,151306,I. Kukleci,5-3-2,0,D,0,
1494640,2159,191791,M. Johnsgard,5-3-2,0,M,0,
1494640,2159,202850,I. Hoffmann,5-3-2,0,D,0,
1494640,2159,318233,J. Gonstad,5-3-2,0,F,0,
1494640,2159,371836,S. Ostraat,5-3-2,0,G,0,
1494640,2159,406479,W. Osnes-Ringen,5-3-2,0,M,0,
1494640,2159,473594,E. Gojani,5-3-2,0,M,0,
1494641,333,2017,B. Utvik,4-2-3-1,1,D,0,
1494641,333,8477,S. Rosted,4-2-3-1,1,D,0,
1494641,333,39169,S. Sorli,4-2-3-1,1,M,0,
1494641,333,48129,A. Sher,4-2-3-1,1,M,0,
1494641,333,151166,D. Karlsbakk,4-2-3-1,1,F,0,
1494641,333,201606,N. Williams,4-2-3-1,1,M,0,
1494641,333,203157,S. Christiansen,4-2-3-1,1,M,0,
1494641,333,228885,C. Niyukuri,4-2-3-1,1,D,0,
1494641,333,340611,A. Nibe,4-2-3-1,1,M,0,
1494641,333,359471,A. Hiim,4-2-3-1,1,D,0,
1494641,333,408223,M. Ndiaye,4-2-3-1,1,G,0,
1494641,333,1968,J. Berget,4-2-3-1,0,F,0,
1494641,333,38689,M. Koch,4-2-3-1,0,D,0,
1494641,333,48145,M. Odegaard,4-2-3-1,0,D,0,
1494641,333,49453,Chriso,4-2-3-1,0,M,0,
1494641,333,57247,E. Wichne,4-2-3-1,0,D,0,
1494641,333,319247,L. Oy,4-2-3-1,0,G,0,
1494641,333,544508,V. E. Halvorsen,4-2-3-1,0,M,0,
1494641,333,544544,M. Svenningsen Gronn,4-2-3-1,0,M,0,
1494641,333,590580,B. Gueye,4-2-3-1,0,M,0,
1494641,2143,39049,M. Eikrem,3-4-3,1,F,0,
1494641,2143,57203,M. Grodem,3-4-3,1,F,0,
1494641,2143,57226,R. Rasch,3-4-3,1,M,0,
1494641,2143,94819,E. Odegaard,3-4-3,1,G,0,
1494641,2143,127385,S. Hestnes,3-4-3,1,M,0,
1494641,2143,151406,E. Saunes,3-4-3,1,D,0,
1494641,2143,314290,B. Kristensen,3-4-3,1,F,0,
1494641,2143,405117,J. Hjorth,3-4-3,1,M,0,
1494641,2143,544515,F. Berglie,3-4-3,1,D,0,
1494641,2143,544525,H. Hoseth,3-4-3,1,M,0,
1494641,2143,544529,D. Schneider,3-4-3,1,D,0,
1494641,2143,8699,A. Nouri,3-4-3,0,D,0,
1494641,2143,39092,B. Njie,3-4-3,0,F,0,
1494641,2143,40542,K. Bakowski,3-4-3,0,G,0,
1494641,2143,57329,M. Vinjor,3-4-3,0,M,0,
1494641,2143,57352,D. Hickson,3-4-3,0,F,0,
1494641,2143,216760,B. Skaret,3-4-3,0,D,0,
1494641,2143,318800,M. Njie,3-4-3,0,D,0,
1494641,2143,359706,R. E. Vinge,3-4-3,0,F,0,
1494641,2143,657447,I. Skovsgaard,3-4-3,0,F,0,
1494642,325,19492,J. Haugaard,5-3-2,1,G,0,
1494642,325,39218,R. Jenssen,5-3-2,1,M,0,
1494642,325,57224,L. O. Larsen,5-3-2,1,F,0,
1494642,325,99538,L. Cornic,5-3-2,1,D,0,
1494642,325,198962,D. Edvardsson,5-3-2,1,M,0,
1494642,325,216765,V. Skjaervik,5-3-2,1,D,0,
1494642,325,314257,T. Guddal,5-3-2,1,D,0,
1494642,325,334630,H. Larsen,5-3-2,1,F,0,
1494642,325,396407,J. Hjerto-Dahl,5-3-2,1,M,0,
1494642,325,408480,A. Thongla-Iad Warneryd,5-3-2,1,D,0,
1494642,325,513019,A. S. Kinteh,5-3-2,1,D,0,
1494642,325,57265,O. Lauvli,5-3-2,0,G,0,
1494642,325,151400,J. Husebo,5-3-2,0,D,0,
1494642,325,282651,I. Vadebu,5-3-2,0,D,0,
1494642,325,359472,D. Braut,5-3-2,0,F,0,
1494642,325,362570,S. Innvaer,5-3-2,0,M,0,
1494642,325,375606,M. Tonnessen,5-3-2,0,D,0,
1494642,325,521589,J. Nois,5-3-2,0,M,0,
1494642,325,521591,M. Mikkelsen,5-3-2,0,M,0,
1494642,325,544497,T. Nyhammer,5-3-2,0,M,0,
1494642,332,2119,E. Patoulidis,4-2-3-1,1,M,0,
1494642,332,57177,S. Mork,4-2-3-1,1,M,0,
1494642,332,107412,E. Hadaya,4-2-3-1,1,G,0,
1494642,332,162462,X. Lambrix,4-2-3-1,1,D,0,
1494642,332,266179,F. Pedersen,4-2-3-1,1,D,0,
1494642,332,269347,R. Alte,4-2-3-1,1,M,0,
1494642,332,290983,N. Moller,4-2-3-1,1,F,0,
1494642,332,314340,V. Egeli,4-2-3-1,1,D,0,
1494642,332,394930,E. Pettersen,4-2-3-1,1,M,0,
1494642,332,413662,Z. Smajlovic,4-2-3-1,1,D,0,
1494642,332,544490,J. Dunsby,4-2-3-1,1,M,0,
1494642,332,217097,M. Melchior,4-2-3-1,0,M,0,
1494642,332,263555,R. Dzabic,4-2-3-1,0,M,0,
1494642,332,385663,J. Vester,4-2-3-1,0,M,0,
1494642,332,410596,S. Kristiansen,4-2-3-1,0,D,0,
1494642,332,416066,A. Gronneberg,4-2-3-1,0,G,0,
1494642,332,522690,B. Berntsen,4-2-3-1,0,F,0,
1494642,332,544489,S. Mathisen,4-2-3-1,0,F,0,
1494642,332,544559,K. Halvorsen,4-2-3-1,0,M,0,
1494642,332,636326,F. Apetorgbor,4-2-3-1,0,F,0,
1494643,321,3322,Felix Va,4-1-4-1,1,M,0,
1494643,321,15904,U. Jenssen,4-1-4-1,1,D,0,
1494643,321,18790,P. Dahlberg,4-1-4-1,1,G,0,
1494643,321,39038,R. Gabrielsen,4-1-4-1,1,D,0,
1494643,321,39148,Y. Ibrahimaj,4-1-4-1,1,M,0,
1494643,321,39323,T. Olsen,4-1-4-1,1,F,0,
1494643,321,57152,M. Karlsbakk,4-1-4-1,1,M,0,
1494643,321,57194,L. Ranger,4-1-4-1,1,D,0,
1494643,321,151242,S. Ottesen,4-1-4-1,1,D,0,
1494643,321,378448,S. Drammeh,4-1-4-1,1,M,0,
1494643,321,531341,G. Nyheim,4-1-4-1,1,M,0,
1494643,321,57167,S. Foss,4-1-4-1,0,D,0,
1494643,321,57189,S. Hagerup,4-1-4-1,0,G,0,
1494643,321,98612,J. Kitolano,4-1-4-1,0,D,0,
1494643,321,151251,Y. Paintsil,4-1-4-1,0,M,0,
1494643,321,331919,C. Jebara,4-1-4-1,0,F,0,
1494643,321,458324,E. Lucky,4-1-4-1,0,M,0,
1494643,321,458514,L. Alperud,4-1-4-1,0,M,0,
1494643,321,498766,H. Woxen,4-1-4-1,0,M,0,
1494643,321,531433,K. Arierhi,4-1-4-1,0,F,0,
1494643,327,15704,K. Hogh,4-4-2,1,F,0,
1494643,327,31541,H. Aleesami,4-4-2,1,D,0,
1494643,327,39055,N. Haikin,4-4-2,1,G,0,
