fixture_id,player_id,team_id,player_name,position,minutes,started_flag,subbed_on_flag,subbed_off_flag,rating,goals,assists,shots_total,shots_on_target,passes_total,passes_key,passes_accurate,tackles,interceptions,blocks,duels_total,duels_won,dribbles_attempted,dribbles_successful,dribbled_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,saves,goals_conceded
1536948,1348,261,Roman Neustädter,D,90,1,0,0,5.5,0,0,1,0,27,0,20,0,3,1,5,3,0,0,1,1,0,1,0,0,0
1536948,2180,261,Serhiy Sydorchuk,M,10,0,1,0,6.7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536948,8974,261,Koen Van Langendonck,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536948,29784,261,Allahyar Sayyadmanesh,M,69,1,0,1,6.3,0,0,1,1,18,0,12,1,0,0,17,7,2,0,0,3,2,1,0,0,0
1536948,37887,261,Doğucan Haspolat,M,80,1,0,1,6.9,0,0,1,0,41,1,30,2,1,0,8,5,0,0,0,2,1,0,0,0,0
1536948,51144,261,Bryan Reynolds,D,90,1,0,0,6.2,0,0,1,0,27,0,21,3,0,0,12,5,4,2,3,0,1,0,0,0,0
1536948,109271,261,Seiji Kimura,D,90,1,0,0,6.7,0,0,0,0,20,0,16,5,1,1,9,7,0,0,0,1,1,0,0,0,0
1536948,161995,261,Thomas Van den Keybus,M,21,0,1,0,6.3,0,0,2,1,6,0,5,0,0,0,3,0,0,0,0,0,1,0,0,0,0
1536948,162513,261,Emin Bayram,D,10,1,0,1,3.0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1536948,277175,261,Andreas Jungdal,G,90,1,0,0,7.2,0,0,0,0,28,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,4
1536948,278950,261,Isa Sakamoto,M,69,1,0,1,7.3,1,0,1,1,13,1,11,2,0,0,3,2,1,0,0,0,0,0,0,0,0
1536948,300941,261,Fernand Gouré,F,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536948,323942,261,Josimar Alcócer,M,79,1,0,1,6.6,0,0,0,0,7,1,6,7,1,1,17,10,5,1,1,2,2,1,0,0,0
1536948,338507,261,Clinton Nsiala,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536948,371950,261,Arthur Piedfort,M,90,1,0,0,6.5,0,0,1,0,34,1,21,3,0,1,20,10,10,4,1,1,1,1,0,0,0
1536948,372563,261,Amando Lapage,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536948,392700,261,Lucas Mbamba,D,58,0,1,0,6.7,0,0,0,0,20,1,16,2,1,0,9,6,3,1,0,2,1,0,0,0,0
1536948,449102,261,Afonso Patrao,F,32,1,0,1,6.3,0,0,0,0,6,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1536948,457169,261,Shunsuke Saito,F,21,0,1,0,7.6,1,0,1,1,2,0,1,0,0,0,5,2,4,2,1,0,0,0,0,0,0
1536948,519399,261,Naoufal Bohamdi-Kamoni,F,11,0,1,0,6.7,0,0,0,0,5,0,5,1,0,0,3,2,2,1,0,0,0,0,0,0,0
1536948,183,740,Vincent Janssen,F,90,1,0,0,10.0,2,2,4,2,17,4,15,0,0,0,7,3,2,1,0,1,0,0,0,0,0
1536948,2925,740,Dennis Praet,M,78,1,0,1,6.9,0,0,0,0,40,2,40,1,3,0,2,1,0,0,1,0,0,0,0,0,0
1536948,3335,740,Boubakar Kouyaté,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536948,8472,740,Yannick Thoelen,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1536948,8719,740,Daam Foulon,D,61,1,0,1,6.7,0,0,0,0,51,0,45,0,0,0,9,5,0,0,1,2,1,1,0,0,0
