fixture_id,player_id,team_id,player_name,position,minutes,started_flag,subbed_on_flag,subbed_off_flag,rating,goals,assists,shots_total,shots_on_target,passes_total,passes_key,passes_accurate,tackles,interceptions,blocks,duels_total,duels_won,dribbles_attempted,dribbles_successful,dribbled_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,saves,goals_conceded
1540005,17693,250,Tom Lowery,M,84,1,0,1,6.6,0,0,2,0,46,0,42,1,0,0,3,2,1,1,0,0,1,1,0,0,0
1540005,19199,250,Kelle Roos,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540005,19883,250,Max Stryjek,G,90,1,0,0,8.2,0,0,0,0,26,0,22,0,0,0,1,1,0,0,0,1,0,0,0,3,1
1540005,44791,250,Aaron Tshibola,M,90,1,0,0,7.2,0,0,2,1,60,0,46,2,0,0,14,10,0,0,0,4,3,0,0,0,0
1540005,44797,250,Rory McKenzie,M,22,0,1,0,6.5,0,0,0,0,4,0,4,1,0,0,3,1,0,0,0,0,1,0,0,0,0
1540005,44858,250,Jamie Brandon,D,5,1,0,1,0.0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1540005,44973,250,George Stanger,D,90,1,0,0,6.6,0,0,1,0,55,0,41,1,1,1,9,5,0,0,0,0,3,1,0,0,0
1540005,45010,250,Bradley Lyons,M,11,0,1,0,6.7,0,0,0,0,8,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1540005,45012,250,Kyle Magennis,M,13,0,1,0,6.5,0,0,0,0,8,0,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0
1540005,45199,250,Greg Kiltie,M,77,1,0,1,6.9,0,0,1,1,22,2,17,2,0,0,13,8,1,1,0,4,2,0,0,0,0
1540005,45254,250,Bruce Anderson,F,13,0,1,0,6.7,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1540005,60378,250,Michael Schjønning-Larsen,D,68,1,0,1,6.3,0,0,0,0,33,0,25,0,0,0,8,2,1,1,1,1,1,0,0,0,0
1540005,125695,250,Lewis Mayo,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540005,127469,250,Dominic Thompson,D,85,0,1,0,7.2,0,0,0,0,57,3,39,1,3,0,4,2,0,0,0,0,0,0,0,0,0
1540005,127606,250,Robbie Deas,D,90,1,0,0,6.9,0,0,0,0,48,0,35,0,1,0,7,4,1,1,0,2,2,1,0,0,0
1540005,142204,250,Nicky Cleșcenco,F,77,1,0,1,6.9,0,0,1,1,20,2,17,1,0,0,9,3,1,1,0,1,1,0,0,0,0
1540005,282133,250,Joe Hugill,F,90,1,0,0,6.2,0,0,0,0,12,0,3,1,0,0,10,4,0,0,0,0,1,0,0,0,0
1540005,313217,250,Zac Williams,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540005,332738,250,David Watson,M,11,0,1,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540005,433272,250,Findlay Curtis,M,84,1,0,1,6.9,0,0,1,0,26,0,20,2,0,0,10,6,2,1,0,3,0,0,0,0,0
1540005,718,252,Dennis Geiger,M,31,0,1,0,7.0,0,0,1,0,4,0,3,1,0,0,7,5,0,0,0,3,0,0,0,0,0
1540005,14344,252,Ante Palaversa,M,18,0,1,0,6.7,0,0,0,0,8,1,5,1,1,0,2,1,0,0,0,0,0,0,0,0,0
1540005,17939,252,Dimitar Mitov,G,90,1,0,0,6.7,0,0,0,0,25,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1540005,18945,252,Stuart Armstrong,M,72,1,0,1,7.2,0,1,0,0,39,2,30,1,2,1,5,1,0,0,1,0,1,0,0,0,0
1540005,20323,252,Elvis Bwomono,D,9,0,1,0,6.6,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1540005,37253,252,Mats Knoester,D,18,0,1,0,6.9,0,0,0,0,7,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0
1540005,44812,252,Graeme Shinnie,M,32,0,1,0,6.3,0,0,1,1,9,0,4,0,0,0,6,2,0,0,1,2,1,0,0,0,0
1540005,48034,252,Per Kristian Bratveit,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540005,57248,252,Afeez Aremu,M,72,1,0,1,7.5,1,0,1,1,17,0,11,1,2,1,12,3,0,0,1,2,5,0,0,0,0
1540005,64314,252,Lyall Cameron,F,59,1,0,1,6.5,0,0,1,0,24,0,20,1,0,0,3,2,1,1,0,0,0,0,0,0,0
1540005,97896,252,Kevin Nisbet,F,90,1,0,0,6.5,0,0,1,0,21,1,14,1,0,0,9,3,0,0,0,1,1,0,0,0,0
1540005,161806,252,Gavin Molloy,D,90,1,0,0,7.6,0,0,0,0,26,0,19,2,0,0,9,5,0,0,1,2,2,0,0,0,0
1540005,162045,252,Marko Lazetić,F,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540005,195870,252,Topi Keskinen,F,8,0,1,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540005,231195,252,Toyosi Olusanya,F,87,1,0,1,6.2,0,0,2,1,16,0,13,0,0,0,10,3,0,0,1,3,2,0,0,0,0
1540005,262847,252,Alexander Jensen,M,90,1,0,0,7.2,0,0,0,0,27,2,16,4,0,0,12,7,2,0,0,1,1,0,0,0,0
1540005,321860,252,Jack Milne,D,81,1,0,1,7.7,0,0,2,1,34,0,28,1,0,0,4,3,0,0,0,1,1,0,0,0,0
1540005,328037,252,Liam Morrison,D,90,1,0,0,7.2,0,0,0,0,32,0,26,0,1,1,4,2,0,0,0,0,1,1,0,0,0
1540005,340027,252,Dylan Lobban,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540005,394703,252,Mitchel Frame,M,58,1,0,1,7.2,0,0,0,0,9,1,7,2,2,0,9,5,1,0,1,1,0,0,0,0,0
1540006,17377,251,Mark O'Hara,M,90,1,0,0,7.2,0,0,1,0,43,0,33,0,0,0,14,10,1,1,1,2,1,0,0,0,0
1540006,17582,251,Mikael Mandron,F,90,1,0,0,6.3,0,0,1,1,22,0,18,0,1,1,10,3,0,0,0,0,1,0,0,0,0
1540006,18313,251,Jonah Ayunga,F,56,1,0,1,6.2,0,0,1,1,18,2,15,0,0,0,5,1,0,0,0,0,2,0,0,0,0
1540006,19317,251,Declan John,M,82,1,0,1,7.0,0,0,1,1,39,1,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1540006,44887,251,Ross Sinclair,G,90,1,0,0,6.2,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1540006,44895,251,Scott Tanser,D,8,0,1,0,7.3,0,0,0,0,12,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540006,44922,251,Allan Campbell,M,73,1,0,1,6.9,0,0,2,0,32,2,30,2,0,0,6,3,0,0,0,1,1,1,0,0,0
1540006,44965,251,Alexander Gogić,D,90,1,0,0,6.3,0,0,2,0,79,0,70,5,1,0,15,10,0,0,0,0,2,1,0,0,0
1540006,106074,251,Conor McMenamin,F,17,0,1,0,7.2,0,0,0,0,24,1,20,1,0,0,4,3,1,0,0,0,0,0,0,0,0
1540006,129710,251,Jayden Richardson,D,17,0,1,0,6.3,0,0,0,0,14,1,11,0,0,0,4,3,0,0,0,2,0,0,0,0,0
1540006,270357,251,Killian Phillips,F,90,1,0,0,7.3,0,0,1,0,23,2,16,0,0,0,7,3,0,0,0,1,0,0,0,0,0
1540006,274225,251,Jake Young,F,34,0,1,0,6.5,0,0,0,0,7,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1540006,319000,251,Richard King,D,56,1,0,1,6.5,0,0,2,1,28,0,20,1,1,0,7,1,2,0,1,0,2,0,0,0,0
1540006,334003,251,Roland Idowu,M,34,0,1,0,6.7,0,0,1,0,17,0,14,0,0,0,5,3,3,2,0,1,1,0,0,0,0
1540006,360197,251,Jalmaro Calvin,F,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540006,400054,251,Miguel Freckleton,D,90,1,0,0,7.5,0,0,0,0,85,0,78,2,1,0,9,7,2,2,0,2,0,0,0,0,0
1540006,408896,251,Jacob Devaney,M,73,1,0,1,6.9,0,0,0,0,54,1,50,1,1,0,9,3,0,0,0,1,3,0,0,0,0
1540006,524430,251,Thomas Falconer,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540006,574696,251,Luke Douglas,F,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540006,592366,251,Grant Tamosevicius,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540006,1747,255,Scott Arfield,M,64,1,0,1,6.6,0,0,0,0,16,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1540006,17753,255,Mohammad Sylla,M,90,1,0,0,6.6,0,0,0,0,25,0,19,1,3,0,5,3,1,0,0,2,1,1,0,0,0
1540006,17934,255,Cristian Montano,D,50,0,1,0,7.2,0,0,0,0,22,0,16,2,0,1,13,6,1,0,1,0,1,0,0,0,0
1540006,19338,255,Barrie McKay,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540006,44823,255,Stevie May,F,64,1,0,1,6.9,0,0,1,0,25,1,16,0,0,0,5,3,1,1,1,2,1,0,0,0,0
1540006,44960,255,Scott Pittman,F,26,0,1,0,7.2,1,0,1,1,4,0,3,0,0,0,4,1,0,0,0,0,1,0,0,0,0
1540006,44982,255,Lewis Smith,F,90,1,0,0,6.7,0,1,0,0,23,1,17,3,0,0,14,4,3,0,1,0,1,0,0,0,0
1540006,45022,255,Jack Hamilton,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540006,45029,255,Cammy Kerr,D,13,0,1,0,6.9,0,0,0,0,4,0,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0
1540006,45031,255,Ryan McGowan,D,90,1,0,0,7.2,0,0,0,0,24,0,18,1,1,2,12,6,0,0,1,3,1,0,0,0,0
1540006,45260,255,Robbie Muirhead,F,26,0,1,0,6.3,0,0,0,0,12,0,8,0,0,0,7,2,0,0,0,0,2,1,0,0,0
1540006,51309,255,Danny Wilson,D,90,1,0,0,7.0,0,0,0,0,28,0,21,1,0,0,8,5,0,0,0,0,0,0,0,0,0
1540006,85704,255,Jerome Prior,G,90,1,0,0,8.3,0,0,0,0,34,0,21,0,0,0,2,2,0,0,0,0,0,0,0,4,0
1540006,118433,255,Joel Nouble,F,64,1,0,1,6.9,0,0,0,0,12,0,9,0,0,0,5,4,1,1,0,2,0,0,0,0,0
1540006,138416,255,Daniel Finlayson,M,77,1,0,1,6.9,0,0,0,0,23,0,19,1,1,0,4,2,0,0,1,1,0,0,0,0,0
1540006,154868,255,Joshua Zimmerman,F,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540006,175131,255,Emmanuel Danso,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540006,281439,255,Babacar Fati,M,40,1,0,1,6.9,0,0,0,0,16,0,14,2,1,0,8,4,0,0,0,2,1,0,0,0,0
1540006,331717,255,Macaulay Tait,M,26,0,1,0,6.5,0,0,0,0,13,0,11,0,1,0,3,0,0,0,0,0,1,0,0,0,0
1540006,443047,255,Brooklyn Kabongolo,D,90,1,0,0,7.7,0,0,1,1,23,0,18,1,1,2,7,6,0,0,0,1,0,0,0,0,0
1540007,17953,253,Brad Halliday,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540007,17969,253,Kieran O'Hara,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540007,19336,253,Yan Dhanda,M,90,1,0,0,7.5,0,0,1,1,45,1,25,2,0,0,14,9,2,1,1,1,0,0,0,0,0
1540007,20242,253,Ethan Hamilton,M,90,1,0,0,7.0,0,0,1,1,20,0,17,1,1,1,10,9,1,0,0,7,0,0,0,0,0
1540007,44904,253,Drey Wright,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540007,45049,253,Scott Wright,M,69,1,0,1,6.0,0,0,0,0,17,1,11,0,0,0,8,2,1,0,0,2,1,0,0,0,0
1540007,46266,253,Simon Murray,F,21,0,1,0,6.6,0,0,0,0,4,0,3,2,0,0,4,3,0,0,0,0,0,0,0,0,0
1540007,64316,253,Finlay Robertson,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540007,135529,253,Charlie Reilly,F,21,0,1,0,6.3,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0
1540007,138850,253,Ryan Astley,D,90,1,0,0,6.0,0,0,0,0,13,0,7,2,0,1,10,5,0,0,1,0,2,0,0,0,0
1540007,152974,253,Billy Koumetio,D,90,1,0,0,6.3,0,0,1,1,39,0,27,0,2,0,9,7,0,0,0,0,0,0,0,0,0
1540007,223290,253,Callum Jones,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540007,273758,253,Imari Samuels,D,90,1,0,0,6.7,0,0,0,0,24,0,17,4,2,0,9,7,0,0,0,2,0,0,0,0,0
1540007,275576,253,Jon McCracken,G,90,1,0,0,6.9,0,0,0,0,36,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,3
1540007,326968,253,Luke Graham,D,90,1,0,0,7.5,0,0,2,1,34,0,25,0,3,4,17,13,1,0,0,5,1,0,0,0,0
1540007,330641,253,Joe Westley,M,90,1,0,0,6.5,0,0,0,0,15,0,10,2,0,1,13,6,2,1,0,0,1,0,0,0,0
1540007,358560,253,Cameron Congreve,M,69,1,0,1,6.5,0,0,0,0,9,2,7,1,0,0,9,3,2,1,0,1,0,0,0,0,0
1540007,365518,253,Joel Cotterill,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540007,388510,253,Tony Yogane,M,11,0,1,0,6.7,0,0,0,0,4,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0
1540007,440037,253,Ashley Hay,F,79,1,0,1,6.9,0,0,0,0,15,0,6,0,1,0,22,12,2,2,0,1,1,0,0,0,0
1540007,6885,1386,Ryan Strain,M,84,1,0,1,7.0,1,0,1,1,21,0,11,0,0,0,8,1,0,0,2,0,2,1,0,0,0
1540007,14423,1386,Ivan Dolček,F,21,0,1,0,6.3,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,0,3,0,0,0,0
1540007,14594,1386,Vicko Ševelj,M,90,1,0,0,7.2,0,1,2,0,31,2,24,0,1,0,13,5,0,0,1,2,4,0,0,0,0
1540007,15857,1386,Julius Eskesen,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540007,17680,1386,Dave Richards,G,90,1,0,0,7.3,0,0,0,0,32,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1540007,17897,1386,Panutche Camará,M,11,0,1,0,6.7,0,0,0,0,4,0,3,1,0,0,2,1,0,0,0,0,1,0,0,0,0
1540007,44952,1386,Craig Sibbald,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540007,45090,1386,Ross Graham,D,90,1,0,0,7.0,0,0,0,0,22,0,17,0,0,1,16,7,0,0,0,2,1,0,0,0,0
1540007,51271,1386,Johnny Russell,F,11,0,1,0,6.5,0,0,0,0,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1540007,69455,1386,Neil Farrugia,F,90,1,0,0,6.9,0,0,1,1,23,2,15,3,0,0,16,5,1,0,0,1,4,0,0,0,0
1540007,122061,1386,Krisztián Keresztes,D,90,1,0,0,7.2,0,0,0,0,20,0,11,2,0,1,9,8,0,0,1,0,0,0,0,0,0
1540007,129913,1386,Max Watters,F,69,1,0,1,6.2,0,0,0,0,7,2,7,1,0,0,10,2,0,0,0,0,3,0,0,0,0
1540007,204042,1386,Will Ferry,M,83,1,0,1,10.0,2,1,2,2,22,3,13,3,0,0,8,5,0,0,0,1,2,0,0,0,0
