fixture_id,player_id,team_id,player_name,position,minutes,started_flag,subbed_on_flag,subbed_off_flag,rating,goals,assists,shots_total,shots_on_target,passes_total,passes_key,passes_accurate,tackles,interceptions,blocks,duels_total,duels_won,dribbles_attempted,dribbles_successful,dribbled_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,saves,goals_conceded
1490236,517,1612,James Rodriguez,F,63,1,0,1,7.9,0,0,5,2,58,5,49,1,0,0,9,4,2,2,3,1,1,0,0,0,0
1490236,6517,1612,Joaquín Pereyra,M,32,0,1,0,7.2,0,0,1,0,44,2,36,2,1,0,6,4,2,2,0,0,2,0,0,0,0
1490236,6659,1612,Tomás Chancalay,F,32,0,1,0,6.7,0,0,2,1,23,0,21,2,1,0,4,3,1,1,1,0,0,0,0,0,0
1490236,7106,1612,Kelvin Yeboah,F,95,1,0,0,5.3,0,0,1,0,26,1,18,0,0,0,18,2,7,1,2,1,1,1,0,0,0
1490236,46641,1612,Bongokuhle Hlongwane,M,62,1,0,1,6.3,0,0,1,0,28,0,25,2,1,0,7,3,0,0,1,0,0,0,0,0,0
1490236,50842,1612,Wil Trapp,M,78,1,0,1,7.0,0,0,0,0,79,4,72,4,1,0,8,5,1,1,0,0,0,0,0,0,0
1490236,50949,1612,Kyle Duncan,D,33,0,1,0,6.9,0,0,0,0,21,1,18,0,0,0,5,2,1,0,1,1,1,0,0,0,0
1490236,70944,1612,D.J. Taylor,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490236,71765,1612,Alec Smir,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490236,79258,1612,Jefferson Díaz,D,95,1,0,0,7.3,0,0,2,1,80,1,73,2,2,0,10,7,2,1,0,3,1,0,0,0,0
1490236,201715,1612,Drake Callender,G,95,1,0,0,7.3,0,0,0,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,6,1
1490236,216812,1612,Nectarios Triantis,M,78,1,0,1,6.9,0,0,0,0,56,0,50,1,0,0,6,2,0,0,0,1,2,0,0,0,0
1490236,289630,1612,Owen Gene,M,17,0,1,0,6.9,0,0,1,0,17,1,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1490236,302926,1612,Nicolás Romero,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490236,324506,1612,Morris Duggan,D,95,1,0,0,6.6,0,0,1,0,64,0,61,2,1,0,6,4,0,0,1,1,1,0,0,0,0
1490236,351496,1612,Anthony Markanich,M,95,1,0,0,7.2,0,0,2,0,41,2,35,0,3,0,9,4,1,1,1,0,1,0,0,0,0
1490236,359418,1612,Devin Padelford,D,95,1,0,0,6.6,0,0,0,0,41,1,40,2,0,0,5,3,1,0,0,0,1,0,0,0,0
1490236,395530,1612,Mauricio González,F,17,0,1,0,6.7,0,0,0,0,6,0,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1490236,460859,1612,Mamadou  Dieng,F,63,1,0,1,6.2,0,0,0,0,14,1,11,0,0,0,6,3,2,0,0,1,0,0,0,0,0
1490236,511385,1612,Kieran Chandler,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490236,159,1616,Hugo Lloris,G,95,1,0,0,7.3,0,0,0,0,28,1,16,0,0,0,1,1,0,0,0,0,0,0,0,4,0
1490236,1261,1616,Sergi Palencia,D,3,0,1,0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1490236,21437,1616,Denis Bouanga,F,95,1,0,0,7.2,0,0,4,4,24,1,22,0,0,0,17,6,7,4,2,1,1,0,0,0,0
1490236,25617,1616,Timothy Tillman,M,95,1,0,0,7.9,0,1,0,0,49,2,40,2,1,1,16,8,5,1,2,5,1,1,0,0,0
1490236,35570,1616,Stephen Eustaquio,M,59,1,0,1,6.9,0,0,0,0,42,1,37,1,1,1,5,2,1,1,1,0,1,0,0,0,0
1490236,44836,1616,Ryan Porteous,D,50,0,1,0,7.3,0,0,0,0,22,0,17,4,2,0,6,6,0,0,0,0,0,0,0,0,0
1490236,50157,1616,Tyler Boyd,F,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490236,50788,1616,Mathieu Choinière,M,36,0,1,0,6.7,0,0,0,0,15,0,12,1,0,0,3,1,1,0,0,0,0,0,0,0,0
1490236,50826,1616,Jacob Shaffelburg,F,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490236,50952,1616,Aaron Long,D,45,1,0,1,7.3,0,0,0,0,23,0,21,2,0,1,5,3,0,0,0,0,2,0,0,0,0
1490236,51031,1616,Eddie Segura,D,95,1,0,0,7.3,0,0,0,0,41,0,36,2,0,3,5,4,1,1,0,0,0,0,0,0,0
1490236,51134,1616,Ryan Hollingshead,M,95,1,0,0,6.9,0,0,0,0,29,1,17,3,0,0,11,6,0,0,2,1,0,1,0,0,0
1490236,51242,1616,Jeremy Ebobisse,F,35,0,1,0,6.3,0,0,1,1,9,0,8,0,1,0,3,1,1,0,0,1,0,0,0,0,0
1490236,78451,1616,Ryan Raposo,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490236,201788,1616,Nkosi Tafari,D,95,1,0,0,8.5,0,0,0,0,43,0,38,3,3,2,9,7,3,2,0,0,0,0,0,0,0
1490236,347794,1616,Artem Smoliakov,M,92,1,0,0,6.2,0,0,0,0,23,0,16,0,1,0,9,3,1,1,0,2,3,0,0,0,0
1490236,356814,1616,David Martínez Morales,F,60,1,0,1,7.9,1,0,2,2,25,1,23,3,0,0,8,4,2,1,2,0,0,0,0,0,0
1490236,360621,1616,Cabral Carter,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490236,366531,1616,Nathan Ordaz,F,84,1,0,1,6.7,0,0,0,0,14,0,12,1,0,0,4,2,1,0,0,1,1,0,0,0,0
1490236,461627,1616,Jude Terry,M,11,0,1,0,6.7,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490237,11365,1601,Benjamin Kuscevic,D,20,1,0,1,7.2,0,0,0,0,15,0,14,1,0,0,2,2,0,0,0,0,0,0,0,0,0
1490237,16776,1601,José Cifuentes,M,30,1,0,1,6.6,0,0,0,0,10,1,7,1,0,0,2,1,1,0,0,0,0,0,0,0,0
1490237,25332,1601,Josh Sargent,F,72,1,0,1,6.5,0,0,1,0,16,0,13,0,0,0,8,2,0,0,1,2,1,0,0,0,0
1490237,35475,1601,William Yarbrough,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490237,50817,1601,Jonathan Osorio,M,90,1,0,0,7.2,0,0,0,0,53,0,47,3,0,0,11,8,2,2,0,3,2,0,0,0,0
1490237,50906,1601,Raheem Edwards,D,90,1,0,0,5.7,0,0,0,0,36,0,25,1,1,0,10,3,3,1,1,1,2,0,0,0,0
1490237,50958,1601,Derrick Etienne Junior,F,60,0,1,0,7.0,0,0,0,0,21,1,15,0,1,0,7,5,1,1,0,2,2,0,0,0,0
1490237,51272,1601,Dániel Sallói,M,90,1,0,0,6.3,0,0,0,0,21,0,16,0,0,0,6,2,1,1,1,1,0,0,0,0,0
1490237,237109,1601,Kobe Franklin,D,90,1,0,0,6.3,0,1,0,0,41,1,35,3,1,1,11,5,0,0,1,1,2,0,0,0,0
1490237,284557,1601,Zane Monlouis,D,90,1,0,0,6.9,0,0,1,1,66,0,57,0,3,0,5,5,0,0,0,1,0,0,0,0,0
1490237,322861,1601,Jules-Anthony Vilsaint,F,18,0,1,0,6.3,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1490237,351582,1601,Luka Gavran,G,90,1,0,0,6.2,0,0,0,0,34,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1490237,362774,1601,Alonso Coello,M,72,1,0,1,6.6,0,0,1,0,32,1,23,0,1,0,2,2,0,0,0,0,0,0,0,0,0
1490237,365962,1601,Lazar Stefanovic,D,70,0,1,0,6.6,0,0,0,0,60,0,50,4,4,0,10,7,0,0,1,0,0,0,0,0,0
1490237,365964,1601,Markus Cimermancic,M,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490237,428991,1601,Emilio Aristizábal,M,72,1,0,1,7.2,1,0,2,1,12,0,8,0,1,0,7,4,3,3,0,0,1,0,0,0,0
1490237,465114,1601,Reid Fisher,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490237,512956,1601,Malik Henry,M,18,0,1,0,6.7,0,0,0,0,11,0,8,0,0,0,5,2,4,2,0,0,0,0,0,0,0
1490237,541970,1601,Antone Bossenberry,M,18,0,1,0,6.6,0,0,0,0,12,0,10,2,0,0,7,4,0,0,0,2,0,0,0,0,0
1490237,641995,1601,Jackson Gilman,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490237,484,1608,Aleksey Miranchuk,M,77,1,0,1,7.7,1,0,2,1,31,0,24,0,1,0,7,2,1,0,0,0,2,0,0,0,0
1490237,2039,1608,Juan Berrocal,D,90,1,0,0,6.3,0,0,0,0,57,0,50,0,3,1,5,2,0,0,1,1,1,0,0,0,0
1490237,2442,1608,Ronald Hernández,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490237,6046,1608,Lucas Hoyos,G,90,1,0,0,6.5,0,0,0,0,34,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1490237,15698,1608,Saba Lobzhanidze,F,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490237,26772,1608,Enea Mihaj,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490237,32137,1608,Emmanuel Latte Lath,F,63,0,1,0,6.2,0,0,0,0,9,0,9,0,0,0,5,0,0,0,0,0,1,0,0,0,0
1490237,33894,1608,Cayman Togashi,F,27,1,0,1,6.5,0,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1490237,41967,1608,Pedro Amador,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490237,48066,1608,Stian Gregersen,D,90,1,0,0,6.5,0,0,0,0,50,0,43,1,0,1,5,2,0,0,0,0,2,1,0,0,0
1490237,50749,1608,Fafà Picault,F,31,0,1,0,6.3,0,1,0,0,13,1,8,0,0,0,6,3,3,1,0,1,0,0,0,0,0
1490237,87301,1608,Tristan Muyumba,M,90,1,0,0,7.9,1,0,1,1,47,1,40,4,3,0,10,6,1,1,1,0,1,0,0,0,0
1490237,119008,1608,William Reilly,M,13,0,1,0,6.9,0,0,0,0,12,0,11,1,0,0,7,4,4,2,0,0,0,0,0,0,0
1490237,265734,1608,Matthew Edwards,D,90,1,0,0,6.9,0,0,0,0,43,1,35,1,0,0,5,4,0,0,0,1,1,0,0,0,0
1490237,265735,1608,Ajani Fortune,M,90,1,0,0,6.6,0,0,1,0,35,0,29,2,1,1,10,7,2,1,0,2,2,0,0,0,0
1490237,305832,1608,Matías Galarza,M,13,0,1,0,6.9,0,0,0,0,11,0,9,1,0,0,7,4,3,1,0,1,0,0,0,0,0
1490237,341239,1608,Luke Brennan,M,59,1,0,1,6.2,0,0,0,0,20,1,15,1,0,0,8,2,0,0,1,1,2,0,0,0,0
1490237,414128,1608,Cooper Sanchez,M,77,1,0,1,6.0,0,0,1,0,37,1,30,0,2,0,10,3,0,0,3,1,3,1,0,0,0
1490237,414528,1608,Elías Báez,D,90,1,0,0,6.3,0,0,0,0,34,0,32,0,2,1,8,3,0,0,4,2,0,0,0,0,0
1490237,455599,1608,Jayden Hibbert,G,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490238,7050,1604,Aiden O'Neill,M,90,1,0,0,6.9,0,0,1,0,69,0,63,1,1,0,8,5,3,3,1,1,2,0,0,0,0
1490238,13300,1604,Andrés Perea,M,8,0,1,0,6.7,0,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1490238,14390,1604,Raul Gustavo,D,25,0,1,0,7.0,0,0,0,0,25,0,23,0,0,0,2,1,0,0,0,1,1,0,0,0,0
1490238,30744,1604,Strahinja Tanasijević,D,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490238,33011,1604,Thiago Martins,D,90,1,0,0,6.9,0,0,0,0,101,1,96,0,1,0,2,2,0,0,0,1,0,0,0,0,0
