fixture_id,team_id,team_name,is_home,goals_for,goals_against,ht_goals_for,ht_goals_against,shots_total,shots_on_goal,shots_inside_box,shots_outside_box,blocked_shots,possession_pct,passes_total,passes_accurate,corners_for,fouls_for,yellow_cards,red_cards
1379319,51,Brighton,1,3,0,2,0,14,6,10,4,3,72.0,578,498,7,9,1,0
1379319,39,Wolves,0,0,3,0,2,5,1,4,1,0,28.0,225,154,1,11,2,0
1379322,36,Fulham,1,0,1,0,0,14,2,11,3,6,60.0,520,456,11,12,4,1
1379322,35,Bournemouth,0,1,0,0,0,10,5,5,5,2,40.0,359,308,2,21,2,1
1379323,40,Liverpool,1,1,1,1,1,8,3,5,3,1,48.0,473,398,5,17,2,0
1379323,49,Chelsea,0,1,1,1,1,6,3,4,2,1,52.0,515,446,2,17,4,0
1379324,50,Manchester City,1,3,0,0,0,25,10,15,10,8,59.0,463,397,10,8,4,0
1379324,55,Brentford,0,0,3,0,0,4,2,2,2,1,41.0,320,244,2,14,2,0
1379326,746,Sunderland,1,0,0,0,0,15,4,9,6,5,51.0,493,414,6,12,0,0
1379326,33,Manchester United,0,0,0,0,0,11,1,6,5,5,49.0,478,392,7,12,3,0
1379320,44,Burnley,1,2,2,1,1,15,6,7,8,5,34.0,255,186,2,17,1,0
1379320,66,Aston Villa,0,2,2,1,1,18,7,9,9,5,66.0,510,439,8,8,1,0
1379321,52,Crystal Palace,1,2,2,1,1,21,8,15,6,5,59.0,459,382,5,5,0,0
1379321,45,Everton,0,2,2,1,1,13,6,10,3,4,41.0,313,232,10,13,2,0
1379325,65,Nottingham Forest,1,1,1,0,0,17,6,11,6,6,46.0,403,325,2,16,2,0
1379325,34,Newcastle,0,1,1,0,0,16,6,7,9,4,54.0,486,415,1,11,0,0
