fixture_id,team_id,team_name,is_home,goals_for,goals_against,ht_goals_for,ht_goals_against,shots_total,shots_on_goal,shots_inside_box,shots_outside_box,blocked_shots,possession_pct,passes_total,passes_accurate,corners_for,fouls_for,yellow_cards,red_cards
1388596,170,FC Augsburg,1,3,1,2,0,15,10,11,4,1,38.0,320,225,3,11,2,0
1388596,163,Borussia Mönchengladbach,0,1,3,0,2,16,4,8,8,5,62.0,544,458,2,9,2,0
1388600,167,1899 Hoffenheim,1,1,0,1,0,15,4,8,7,3,72.0,684,596,8,4,1,0
1388600,162,Werder Bremen,0,0,1,0,1,11,2,5,6,4,28.0,268,173,3,3,2,1
1388602,173,RB Leipzig,1,2,1,1,0,13,5,8,5,2,70.0,731,649,3,5,2,0
1388602,186,FC St. Pauli,0,1,2,0,1,7,3,4,3,2,30.0,299,213,5,9,0,0
1388603,172,VfB Stuttgart,1,3,1,2,1,20,9,13,7,6,49.0,379,319,7,13,2,0
1388603,168,Bayer Leverkusen,0,1,3,1,2,6,5,4,2,0,51.0,401,324,6,8,1,0
1388604,161,VfL Wolfsburg,1,0,1,0,0,17,5,14,3,5,31.0,332,255,6,8,1,0
1388604,157,Bayern München,0,1,0,0,0,16,9,9,7,2,69.0,771,689,3,5,0,0
