file,kind,bucket,incoming_import_refs,imported_by_sample,reason
 run_fast_ftr_predictions.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
-recover_rebuilt_.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
94%_train_ftr_with_ROI_reports.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
94%_train_ftr_with_team_stats 2.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
94%_train_ftr_with_team_stats.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
_baseline_ftr_pipeline.py,python,keep_or_review_imported,9,probe_goal_model.py; weekend_smoke_test.py; build_ftr_apples_to_apples_eval.py; shadow_goal_rebuild_runner.py; train_investor_leagues_v2.py; prediction_overlay.py; prediction_overlay copy.py; side_prob_models.py,Imported by 9 local Python file(s); do not archive until owner/purpose is confirmed.
acca_builder.py,python,keep_or_review_imported,1,slip_score_report.py,Imported by 1 local Python file(s); do not archive until owner/purpose is confirmed.
aggregate_gated_backtests.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
apply_btts_proxy_overlay_from_config.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
apply_frozen_product_gates.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
apply_frozen_specialist_profiles.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
apply_ou25_proxy_overlay_from_config.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
apply_specialist_deploy_config.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
apply_specialist_overlay_bridge.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
apply_stadium_coord_overrides.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
attack_identity_audit.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
attack_identity_refined_audit.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
audit_backtest_run.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_btts_full_universe_scenarios.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_btts_proxy_feature_ablation_from_a.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_btts_proxy_feature_ablation_from_allmarkets.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_btts_proxy_lift_from_allmarkets.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_btts_scenario_grid.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_btts_shadow_bucket.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_ftr_dual_paths.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_market_proxy_delta.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_merged_side_coverage.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_ou25_btts_support_experiment.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_ou25_fullgrid_signal.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_ou25_proxy_feature_ablation_from_a.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_ou25_proxy_feature_ablation_from_allmarkets.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_ou25_proxy_lift_from_allmarkets.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_power_freshness.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_snapshot_proxy_feature_coverage.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
audit_snapshot_proxy_feature_coverage_v2_batch.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
auto_leagues.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
auto_leagues.py.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
backfill_walkforward_exact_scores.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
backtest_deploy_csv.py,python,keep_or_review_imported,1,scripts/_archive_review/2026_05_23/build_phase8h_replay_sweeps.py,Imported by 1 local Python file(s); do not archive until owner/purpose is confirmed.
backtest_ftr_consensus.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
backtest_ftr_from_merged.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
backtest_ou25_from_merged.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
backtest_uefa_ab.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
batch_build_hybrid_consensus_inputs.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
batch_build_hybrid_threshold_policies.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
batch_fetch_api_historical_context.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
batch_run_hybrid_upstream_pipeline.py,python,keep_or_review_imported,1,batch_fetch_api_historical_context.py,Imported by 1 local Python file(s); do not archive until owner/purpose is confirmed.
bookie_allmarkets_btts_proxy_wrapper.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
bookie_allmarkets_ou25_proxy_wrapper.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
bookie_allmarkets_proxy_experiment.py,python,archive_review_research_harness,0,,"Research/audit/training/backtest harness; keep only if tied to active runbook, otherwise archive/review."
bookie_allmarkets_research_no_recent_btts_regime.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
bookie_allmarkets_research_pre_hybrid_modelstore.py,python,archive_review_scratch_backup,0,,"Looks like backup, scratch, malformed copy, or old research variant; archive after spot-check."
btts_league_policy.json,config,keep_commit_candidate,0,,"Named production/support contract, config policy, or operational runner; inspect then track in a focused commit."
BTTS_MODEL_VS_VALUEEV_POLICY_NOTE.py,python,needs_manual_review_source,0,,Source-like root file with unclear ownership; inspect before moving.
