fixture_id,competition,date_utc,home_team,away_team,stadium,city,country,latitude,longitude,xg_home,xg_away,ppg_home,ppg_away,predicted_winner,confidence_ftr,over25_prob,btts_prob,key_players_shots,key_players_bookings,key_players_tackles,home_badge_url,away_badge_url
153,UEFA Champions League,2023-11-28T17:45:00Z,Lazio,Celtic,Stadio Olimpico (Roma),Rome,Italy,41.9341,12.4547,1.84,1.0,1.75,0.25,Lazio,0.606,0.578,0.556,"Pedro Rodriguez|Shots/90 1.93, SoT/90 1.44;Gustav Isaksen|Shots/90 1.85, SoT/90 1.11;Luis Enrique Palma Oseguera|Shots/90 1.67, SoT/90 1.67;Hyun-Gyu Oh|Shots/90 1.82, SoT/90 0.91","Nicolò Rovella|Cards/90 1.97, YC 3;Pedro Rodriguez|Cards/90 0.96, YC 2;Odin Thiago Holm|Cards/90 2.37, YC 1;Gustaf Lagerbielke|Cards/90 2.31, YC 2",Nicolò Rovella|Tackles/90 3.28;Felipe Anderson|Tackles/90 2.80;Tomoki Iwata|Tackles/90 4.43;David Turnbull|Tackles/90 2.81,https://commons.wikimedia.org/wiki/Special:FilePath/S.S.%20Lazio%20logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Celtic%20FC.svg
154,UEFA Champions League,2023-11-28T17:45:00Z,Shakhtar Donetsk,Royal Antwerp FC,Volksparkstadion (Hamburg),Hamburg,Germany,53.587,9.8986,1.69,1.75,1.5,1.0,Shakhtar Donetsk,0.471,0.546,0.588,"Danylo Sikan|Shots/90 1.69, SoT/90 1.31;Egor Nazaryna|Shots/90 1.33, SoT/90 0.89;Arbnor Muja|Shots/90 2.49, SoT/90 1.53;Vincent Janssen|Shots/90 1.76, SoT/90 0.80","Yukhym Konoplia|Cards/90 1.05, YC 3;Valerii Bondar|Cards/90 0.50, YC 2;Arbnor Muja|Cards/90 0.58, YC 3;Jelle Bataille|Cards/90 0.59, YC 2",Giorgi Gocholeishvili|Tackles/90 3.49;Yukhym Konoplia|Tackles/90 2.81;Mandela Keita|Tackles/90 3.25;Samuel Vines|Tackles/90 2.90,https://commons.wikimedia.org/wiki/Special:FilePath/Fc%20shakhtar%20donetsk%20logo.png,https://commons.wikimedia.org/wiki/Special:FilePath/Royal%20Antwerp%20Football%20Club%20%28logo%29.svg
155,UEFA Champions League,2023-11-28T20:00:00Z,Feyenoord,Atlético Madrid,Stadion Feijenoord (Rotterdam),Rotterdam,Netherlands,51.8939,4.5231,1.48,1.02,1.5,2.0,Atlético Madrid,0.381,0.571,0.617,"Javairo Dilrosun|Shots/90 8.18, SoT/90 8.18;Alireza Jahanbakhsh|Shots/90 3.86, SoT/90 2.57;Memphis Depay|Shots/90 4.46, SoT/90 2.67;Ángel Correa|Shots/90 3.69, SoT/90 2.27","Bart Nieuwkoop|Cards/90 2.17, YC 2;Marcos López|Cards/90 2.05, YC 1;Caglar Söyüncü|Cards/90 1.58, YC 1;Cesar Azpilicueta|Cards/90 0.69, YC 2",Alireza Jahanbakhsh|Tackles/90 7.71;Thomas van den Belt|Tackles/90 2.57;Reinildo Mandava|Tackles/90 4.09;Rodrigo Riquelme|Tackles/90 2.87,https://commons.wikimedia.org/wiki/Special:FilePath/Feyenoord%20Rotterdam.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Atletico%20Madrid%202017%20logo.svg
156,UEFA Champions League,2023-11-28T20:00:00Z,PSG,Newcastle United,Parc des Princes (Paris),Paris,France,48.8414,2.253,2.82,0.74,1.5,1.0,PSG,0.57,0.658,0.588,"Marco Asensio|Shots/90 5.12, SoT/90 2.20;Kylian Mbappé|Shots/90 3.33, SoT/90 2.17;Callum Wilson|Shots/90 2.27, SoT/90 1.13;Miguel Almirón|Shots/90 2.18, SoT/90 0.87","Ousmane Dembélé|Cards/90 0.47, YC 5;Manuel Ugarte|Cards/90 0.46, YC 2;Lewis Hall|Cards/90 1.96, YC 1;Joelinton|Cards/90 0.54, YC 2",Nuno Mendes|Tackles/90 2.35;Bradley Barcola|Tackles/90 2.27;Elliot Anderson|Tackles/90 4.19;Miguel Almirón|Tackles/90 3.28,https://commons.wikimedia.org/wiki/Special:FilePath/Paris%20Saint-Germain%20F.C..svg,https://commons.wikimedia.org/wiki/Special:FilePath/Newcastle_United_Logo.svg
157,UEFA Champions League,2023-11-28T20:00:00Z,AC Milan,Borussia Dortmund,Stadio Giuseppe Meazza (Milano),Milan,Italy,45.4781,9.124,1.64,1.25,1.25,1.75,AC Milan,0.43,0.599,0.571,"Luka Jović|Shots/90 6.00, SoT/90 3.00;Noah Okafor|Shots/90 5.45, SoT/90 2.73;Donyell Malen|Shots/90 3.61, SoT/90 2.20;Sébastien Haller|Shots/90 1.80, SoT/90 1.80","Luka Jović|Cards/90 3.00, YC 1;Yunus Musah|Cards/90 1.02, YC 4;Nico Schlotterbeck|Cards/90 0.46, YC 5;Ian Maatsen|Cards/90 0.43, YC 3",Davide Calabria|Tackles/90 3.78;Alessandro Florenzi|Tackles/90 3.48;Youssoufa Moukoko|Tackles/90 5.62;Ramy Bensebaini|Tackles/90 5.08,https://commons.wikimedia.org/wiki/Special:FilePath/AC%20Milan%202014.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Borussia%20Dortmund%20logo.svg
158,UEFA Champions League,2023-11-28T20:00:00Z,Manchester City,RB Leipzig,Etihad Stadium (Manchester),Manchester,England,53.4831,-2.2004,2.0,0.79,3.0,2.25,Manchester City,0.719,0.68,0.556,"Kevin De Bruyne|Shots/90 4.90, SoT/90 2.67;Erling Haaland|Shots/90 4.38, SoT/90 2.54;Dani Olmo|Shots/90 3.48, SoT/90 1.49;Lois Openda|Shots/90 3.06, SoT/90 1.45","Kalvin Phillips|Cards/90 0.71, YC 1;Rodri|Cards/90 0.27, YC 2;Christopher Lenz|Cards/90 0.98, YC 1;Yussuf Poulsen|Cards/90 0.53, YC 2",Bernardo Silva|Tackles/90 1.85;Jeremy Doku|Tackles/90 1.81;Christopher Lenz|Tackles/90 5.87;Fabio Carvalho|Tackles/90 4.46,https://commons.wikimedia.org/wiki/Special:FilePath/Manchester%20City%20FC%20badge.svg,https://commons.wikimedia.org/wiki/Special:FilePath/RB%20Leipzig%202014%20logo.svg
159,UEFA Champions League,2023-11-28T20:00:00Z,Young Boys,Red Star Belgrade,Stadion Wankdorf (Bern),Bern,Switzerland,46.963,7.464,1.87,1.69,0.83,0.25,Young Boys,0.504,0.617,0.637,"Silvère Ganvoula M'boussy|Shots/90 4.81, SoT/90 0.69;Ebrima Colley|Shots/90 2.86, SoT/90 0.71;Aleksandar Katai|Shots/90 8.51, SoT/90 2.43;Cherif Ndiaye|Shots/90 1.75, SoT/90 1.50","Joel Almada Monteiro|Cards/90 0.86, YC 3;Ebrima Colley|Cards/90 0.71, YC 1;Uroš Spajić|Cards/90 1.38, YC 1;Jean-Philippe Krasso|Cards/90 0.83, YC 1",Ulisses Garcia|Tackles/90 2.67;Filip Ugrinic|Tackles/90 2.60;Uroš Kabić|Tackles/90 7.50;In-Beom Hwang|Tackles/90 3.38,https://commons.wikimedia.org/wiki/Special:FilePath/BSC%20Young%20Boys%20logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/FK%20Crvena%20zvezda.svg
160,UEFA Champions League,2023-11-28T20:00:00Z,FC Barcelona,Porto,Estadi Olímpic Lluís Companys (Barcelona),Barcelona,Spain,41.364,2.155,1.93,1.28,2.25,2.25,FC Barcelona,0.651,0.617,0.556,"Raphinha|Shots/90 3.42, SoT/90 2.47;João Félix|Shots/90 3.18, SoT/90 1.71;Mehdi Taremi|Shots/90 2.80, SoT/90 1.48;Francisco Conceição|Shots/90 2.28, SoT/90 1.14","Sergi Roberto|Cards/90 1.34, YC 3;Gavi|Cards/90 1.18, YC 3;David Carmo|Cards/90 0.75, YC 3;Francisco Conceição|Cards/90 0.76, YC 2",João Cancelo|Tackles/90 3.56;Pedri|Tackles/90 2.47;Marko Grujić|Tackles/90 10.59;Iván Jaime|Tackles/90 6.07,https://commons.wikimedia.org/wiki/Special:FilePath/FC%20Barcelona%20%28crest%29.svg,https://commons.wikimedia.org/wiki/Special:FilePath/FC%20Porto.svg
161,UEFA Champions League,2023-11-29T17:45:00Z,Galatasaray,Manchester United,Rams Global Stadium (İstanbul),Istanbul,Türkiye,41.1033,29.015,1.8,1.52,2.0,0.75,Galatasaray,0.392,0.613,0.654,"Cédric Bakambu|Shots/90 4.58, SoT/90 2.54;Fredrik Midtsjø|Shots/90 3.10, SoT/90 3.10;Mason Mount|Shots/90 3.96, SoT/90 0.99;Casemiro|Shots/90 2.69, SoT/90 1.08","Halil Dervişoğlu|Cards/90 0.93, YC 1;Sérgio Miguel Relvas de Oliveira|Cards/90 0.60, YC 3;Casemiro|Cards/90 1.08, YC 2;Lisandro Martínez|Cards/90 1.00, YC 1",Léo Dubois|Tackles/90 10.00;Tanguy Ndombele|Tackles/90 4.00;Aaron Wan-Bissaka|Tackles/90 2.97;Hannibal Mejbri|Tackles/90 2.90,https://commons.wikimedia.org/wiki/Special:FilePath/Galatasaray%20Sports%20Club%20Logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Manchester%20United%20FC%20crest.svg
162,UEFA Champions League,2023-11-29T17:45:00Z,Sevilla FC,PSV,Estadio Ramón Sánchez Pizjuán (Sevilla),Seville,Spain,37.3841,-5.9706,1.34,1.93,0.5,1.88,Sevilla FC,0.379,0.592,0.617,"Mariano Díaz|Shots/90 3.00, SoT/90 1.50;Rafa Mir|Shots/90 2.50, SoT/90 2.50;Luuk de Jong|Shots/90 3.26, SoT/90 1.34;Guus Til|Shots/90 2.95, SoT/90 1.84","Rafa Mir|Cards/90 2.50, YC 1;Mariano Díaz|Cards/90 1.50, YC 1;Shurandy Sambo|Cards/90 4.29, YC 1;Hirving Lozano|Cards/90 0.95, YC 4",Joan Jordán|Tackles/90 5.56;Juanlu Sánchez|Tackles/90 4.22;Shurandy Sambo|Tackles/90 4.29;Armel Bella-Kotchap|Tackles/90 3.21,https://commons.wikimedia.org/wiki/Special:FilePath/Sevilla%20FC%20logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/PSV%20Eindhoven.svg
